value,duration,params_dropout_prob,params_lrate,params_nEpoch,params_n_layers,params_n_units_layer_0,params_n_units_layer_1,params_n_units_layer_2,params_weight_decay,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9788495750148251,8,0.1306103750885933,0.0038993743737157586,400,3,256,256.0,512.0,8.843215122202871e-05,0.9788495750148251,0.5737051792828686,0.9791332263242376,0.9993856235920541,0.9891557717644675,4883.0,0.96,0.4090909090909091,0.5737051792828686,176.0,0.9788495750148251,0.0,NN,best
0.9786519074915991,11,0.02033463236189889,0.016486917107507115,500,3,256,256.0,512.0,0.00025176628633261577,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,4,0.2717950097316416,0.004809953385789259,400,3,128,256.0,128.0,0.00014615953812716626,0.9786519074915991,0.5714285714285714,0.9791290387316878,0.9991808314560721,0.989053314413136,4883.0,0.9473684210526315,0.4090909090909091,0.5714285714285714,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,11,0.08997514301555012,0.004884726204468271,500,3,256,256.0,512.0,0.00018315221603378763,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,8,0.22890493666503156,0.0029922767291464527,400,3,256,256.0,512.0,0.00010622724935091752,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,6,0.15616690626064988,0.010796058098755001,300,3,256,256.0,512.0,0.00020860071226667837,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,6,0.15505060335843798,0.010352208337190406,400,3,256,256.0,256.0,0.00021406362751377864,0.9786519074915991,0.5714285714285714,0.9791290387316878,0.9991808314560721,0.989053314413136,4883.0,0.9473684210526315,0.4090909090909091,0.5714285714285714,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,3,0.26312526533729713,0.006384102975153114,400,3,128,256.0,128.0,8.61164599585405e-05,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,3,0.1968346017762868,0.013852396971909034,300,2,256,256.0,,0.0001814595917939966,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,6,0.11243570499724541,0.013839421703597735,500,3,128,256.0,256.0,0.00015987157127764226,0.9786519074915991,0.5714285714285714,0.9791290387316878,0.9991808314560721,0.989053314413136,4883.0,0.9473684210526315,0.4090909090909091,0.5714285714285714,176.0,0.9786519074915991,0.0,NN,best
0.9786519074915991,11,0.1976326664199127,0.0061555829850875945,500,3,256,256.0,512.0,0.00014623089660494894,0.9786519074915991,0.568,0.9789368104312939,0.9993856235920541,0.9890555330360762,4883.0,0.9594594594594594,0.4034090909090909,0.568,176.0,0.9786519074915991,0.0,NN,best
0.9784542399683732,3,0.14472681608811577,0.023693784396574522,400,2,256,128.0,,5.6641604204003787e-05,0.9784542399683732,0.5657370517928287,0.9789325842696629,0.9991808314560721,0.9889530759095977,4883.0,0.9466666666666667,0.4034090909090909,0.5657370517928287,176.0,0.9784542399683732,0.0,NN,best
0.9784542399683732,3,0.15979559801367305,0.023417692177860116,400,2,256,256.0,,9.72641991028274e-05,0.9784542399683732,0.5657370517928287,0.9789325842696629,0.9991808314560721,0.9889530759095977,4883.0,0.9466666666666667,0.4034090909090909,0.5657370517928287,176.0,0.9784542399683732,0.0,NN,best
0.9784542399683732,8,0.23582347128029385,0.017652880108430403,400,3,256,256.0,512.0,0.0001564337554599828,0.9784542399683732,0.5725490196078431,0.9793172690763052,0.9987712471841081,0.9889485957619386,4883.0,0.9240506329113924,0.4147727272727273,0.5725490196078431,176.0,0.9784542399683732,0.0,NN,best
0.9784542399683732,8,0.2492341571359442,0.004603336947131291,400,3,128,256.0,128.0,0.00014709623447097835,0.9784542399683732,0.5657370517928287,0.9789325842696629,0.9991808314560721,0.9889530759095977,4883.0,0.9466666666666667,0.4034090909090909,0.5657370517928287,176.0,0.9784542399683732,0.0,NN,best
0.9784542399683732,6,0.2964402838384251,0.005151015916051896,200,3,256,512.0,512.0,0.00029293672073462524,0.9784542399683732,0.5622489959839357,0.9787404733253109,0.9993856235920541,0.9889553146215422,4883.0,0.958904109589041,0.3977272727272727,0.5622489959839357,176.0,0.9784542399683732,0.0,NN,best
0.9784542399683732,10,0.27493053468959305,0.004668794334486145,500,3,512,128.0,512.0,5.613574228096187e-05,0.9784542399683732,0.5657370517928287,0.9789325842696629,0.9991808314560721,0.9889530759095977,4883.0,0.9466666666666667,0.4034090909090909,0.5657370517928287,176.0,0.9784542399683732,0.0,NN,best
0.9782565724451473,6,0.10064810839858797,0.009718199712880298,500,3,128,256.0,256.0,0.00021722913919847216,0.9782565724451473,0.5669291338582677,0.9791206585023088,0.9987712471841081,0.9888483373884833,4883.0,0.9230769230769231,0.4090909090909091,0.5669291338582677,176.0,0.9782565724451473,0.0,NN,best
0.9782565724451473,6,0.24754214534504237,0.01432385305746033,500,3,128,256.0,256.0,0.00010810025562222678,0.9782565724451473,0.5634920634920635,0.9789283564118001,0.9989760393200902,0.9888505980133793,4883.0,0.9342105263157895,0.4034090909090909,0.5634920634920635,176.0,0.9782565724451473,0.0,NN,best
0.9782565724451473,5,0.13669880219677594,0.011368491189821398,300,3,256,128.0,512.0,0.00013866658975092013,0.9782565724451473,0.5564516129032258,0.9785442149588931,0.9993856235920541,0.9888551165146909,4883.0,0.9583333333333334,0.39204545454545453,0.5564516129032258,176.0,0.9782565724451473,0.0,NN,best
0.9782565724451473,4,0.2050908754583968,0.004469499769222639,500,3,128,256.0,128.0,0.00023245315443586135,0.9782565724451473,0.5564516129032258,0.9785442149588931,0.9993856235920541,0.9888551165146909,4883.0,0.9583333333333334,0.39204545454545453,0.5564516129032258,176.0,0.9782565724451473,0.0,NN,best
0.9782565724451473,6,0.2674241500893381,0.024934231302250913,400,2,256,256.0,,8.061069348649714e-05,0.9782565724451473,0.5634920634920635,0.9789283564118001,0.9989760393200902,0.9888505980133793,4883.0,0.9342105263157895,0.4034090909090909,0.5634920634920635,176.0,0.9782565724451473,0.0,NN,best
0.9780589049219214,8,0.14732559821358504,0.013041331645192526,500,2,256,512.0,,0.0009373746372611019,0.9780589049219214,0.5542168674698795,0.9785399117529081,0.9991808314560721,0.9887526598439558,4883.0,0.9452054794520548,0.39204545454545453,0.5542168674698795,176.0,0.9780589049219214,0.0,NN,best
0.9780589049219214,4,0.17281026130060856,0.0196829209132929,400,2,256,256.0,,8.147803226025021e-05,0.9780589049219214,0.5542168674698795,0.9785399117529081,0.9991808314560721,0.9887526598439558,4883.0,0.9452054794520548,0.39204545454545453,0.5542168674698795,176.0,0.9780589049219214,0.0,NN,best
