Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,kernel,C,class_weight,gamma,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5,degree,coef0
0,0,0,1dpos,2dpos,5FTE,SV,16.0,5000.0,rbf,6.467481965843863,,0.0075723055166099,0.9584937734730182,0.0365865203438702,0.9771101008104368,8.839960377543491e-05,0.8600909270606838,0.0351098922140582,2.08,19.8,0.9772682348290176,0.5583567466190692,0.9771101008104368,,
70,70,1,cyclic,raw,WTE,SV,,,rbf,9.20217937475454,,0.0776839290277223,0.9497766356987546,0.0740067262986104,0.978612373986954,0.0001653805152271,0.7801937141727613,0.1575911689521946,1.06,4.2,0.9788495750148252,0.5918660335383721,0.978612373986954,,
80,80,1,raw,elliptic,onehot,SV,,,poly,0.0207367379437397,,0.2763650162536088,0.956525004941688,0.0355553230020641,0.9780589049219216,1.2412670766236366e-16,0.8686696975686894,0.0427843123504223,1.3,6.4,0.9780589049219214,0.581688130836546,0.9780589049219216,3.0,0.2223586201298899
1,1,0,1dpos,2dpos,WTE,SV,16.0,5000.0,poly,0.2541671592211983,,0.0443758603044345,0.9412294919944652,0.1349110949601171,0.9770705673057916,0.0006405159812618,0.6917177307768334,0.3678993974682821,1.08,9.4,0.9778612373986952,0.5700496496730733,0.9770705673057916,2.0,0.4163819297246606
71,71,1,cyclic,raw,onehot,SV,,,rbf,4.576791648298232,,0.0827530579523817,0.9567740660209528,0.0345629425197815,0.978612373986954,8.839960377543491e-05,0.87622059695592,0.0052659014023482,1.66,7.4,0.9786519074915992,0.5915844776077047,0.978612373986954,,
81,81,1,raw,polar,5FTE,SV,,,rbf,1.83708415088718,,0.2389094923003785,0.9351176121763196,0.1440554151833167,0.9785728404823087,0.000108266961357,0.6337220794623443,0.3531998950627212,2.76,12.4,0.9786519074915992,0.5893925863852408,0.9785728404823087,,
72,72,1,cyclic,zone,5FTE,SV,,,rbf,1.6774991836232418,,0.0907824247465978,0.9474322988732954,0.0966003580253689,0.9784542399683732,1.2412670766236366e-16,0.7707452065625617,0.2572589999121447,1.34,6.6,0.9784542399683732,0.588317011764199,0.9784542399683732,,
50,50,1,1dpos,elliptic,onehot,SV,,,rbf,1.0377717266326063,,0.111144635387675,0.9636015022731764,0.0217523376373831,0.9779403044079858,0.000108266961357,0.9081636687092308,0.0190729187278262,2.08,10.6,0.9780589049219214,0.5818420440052767,0.9779403044079858,,
2,2,0,1dpos,2dpos,onehot,SV,16.0,5000.0,rbf,1.8592874717303225,,0.0137150628347174,0.9502945246096068,0.1331426552519784,0.977347301838308,0.0004961415456814,0.7440205574224155,0.3973512778051932,3.78,19.6,0.9776635698754694,0.5616626359483503,0.977347301838308,,
82,82,1,raw,polar,WTE,SV,,,rbf,9.415114066180662,,0.0250174889745665,0.9440482308756672,0.1334324383042944,0.9780589049219212,0.0002420922853116,0.7281280885550505,0.3876001218685967,1.62,6.0,0.9784542399683732,0.5836861336761324,0.9780589049219212,,
60,60,1,cyclic,2dpos,5FTE,SV,16.0,5000.0,poly,0.0668904941036244,,0.0852874020350747,0.9270171970745208,0.15334388715981,0.9773868353429532,0.0001767992075508,0.5994860644396127,0.362209526133227,3.34,17.4,0.9774659023522436,0.5735176370652371,0.9773868353429532,2.0,0.4415085843458931
3,3,0,1dpos,elliptic,5FTE,SV,,,rbf,5.260016970671477,,0.0690437538349073,0.9425696778019372,0.1001802913117495,0.9775845028661792,0.000108266961357,0.7191144494959478,0.2237234874554476,0.24,2.4,0.9776635698754694,0.5815484033913159,0.9775845028661792,,
30,30,0,raw,2dpos,5FTE,SV,16.0,5000.0,rbf,1.370606774195426,,0.0313137340897621,0.9576793832773276,0.0395614757980894,0.9759240956710812,0.0005116496977878,0.8594583909863609,0.0723569791996946,5.44,21.0,0.9764775647361138,0.5437410038122861,0.9759240956710812,,
51,51,1,1dpos,polar,5FTE,SV,,,rbf,5.641975469399351,,0.0694285237643236,0.9657797983791262,0.0207052439923842,0.9778217038940502,0.0001653805152271,0.914726230480332,0.0256791339367767,2.06,9.0,0.9780589049219214,0.5865132971362621,0.9778217038940502,,
73,73,1,cyclic,zone,WTE,SV,,,rbf,0.7229688130009109,,0.3027403988628321,0.9396402451077288,0.1459128887400291,0.9785333069776636,0.000108266961357,0.6560980430915201,0.3846929801733717,3.0,20.0,0.9786519074915992,0.5907068335543935,0.9785333069776636,,
83,83,1,raw,polar,onehot,SV,,,rbf,2.594566820829847,,0.1290861588477708,0.9641945048428542,0.0226663727789307,0.9780589049219212,0.0002795440921868,0.9035777821703894,0.0079380186251303,1.54,9.2,0.9784542399683732,0.581911977017627,0.9780589049219212,,
61,61,1,cyclic,2dpos,WTE,SV,16.0,5000.0,rbf,2.929086424974983,,0.0188240600167541,0.9514923898003558,0.0962399884352403,0.9777426368847598,0.000108266961357,0.7650919153983001,0.254522501148421,3.58,15.4,0.9778612373986952,0.5796804757775409,0.9777426368847598,,
74,74,1,cyclic,zone,onehot,SV,,,rbf,8.893802866389535,,0.0445675135803347,0.9584384265665152,0.0358714249573656,0.9786914409962444,0.0003535984151017,0.8729393160703696,0.0352700571736463,2.06,8.6,0.9792449100612768,0.6004945427501018,0.9786914409962444,,
31,31,0,raw,2dpos,WTE,SV,16.0,5000.0,poly,0.6685437482383353,,0.0159980681591554,0.9578363070865824,0.0337045396345479,0.9769915002965014,0.000108266961357,0.8697766356987546,0.0275798972037572,2.53061224489796,13.2,0.9770705673057916,0.5604639934253329,0.9769915002965014,3.0,0.2636852625199165
32,32,0,raw,2dpos,onehot,SV,16.0,5000.0,rbf,6.137394598101409,,0.0058059631223927,0.959016933517823,0.037597167636354,0.9778217038940502,0.000216533922714,0.8586677208934571,0.0291869334706259,0.8958333333333334,8.0,0.9780589049219214,0.5806426393619459,0.9778217038940502,,
33,33,0,raw,elliptic,5FTE,SV,,,rbf,5.495515190636251,,0.1228637078324802,0.929810840774513,0.123838858960571,0.9770310338011464,0.0002931883173392,0.6337220794623444,0.2180979646087434,0.5217391304347826,4.0,0.9774659023522436,0.5634298815020564,0.9770310338011464,,
52,52,1,1dpos,polar,WTE,SV,,,poly,9.12035667009412,,0.060871295705365,0.9597548922711998,0.0314671067251021,0.9788891085194702,0.000216533922714,0.8786716742439218,0.0274421331991628,6.92,41.4,0.979047242538051,0.6026712205349976,0.9788891085194702,2.0,0.2772176561797542
34,34,0,raw,elliptic,WTE,SV,,,poly,0.0222586875485964,,0.1339937472609018,0.959442218189006,0.0261931982748542,0.977149634315082,0.000108266961357,0.8974105554457402,0.011430584933624,0.2272727272727272,2.0,0.9772682348290176,0.570568611414473,0.977149634315082,4.0,0.1663713136796621
62,62,1,cyclic,2dpos,onehot,SV,16.0,5000.0,poly,0.0379519351927062,,0.064840405007126,0.9124728207155564,0.1833565810247181,0.9775054358568888,0.000216533922714,0.4719905119588851,0.3665122197581263,4.98,31.0,0.9778612373986952,0.5690484788300081,0.9775054358568888,3.0,0.0681202197609475
75,75,1,raw,2dpos,5FTE,SV,16.0,5000.0,rbf,3.346933062420669,,0.0138312820442399,0.9525281676220598,0.0628793696188164,0.9777031033801146,8.839960377543491e-05,0.8067602292943269,0.1274910780675791,6.38,33.6,0.9778612373986952,0.5792387736711591,0.9777031033801146,,
35,35,0,raw,elliptic,onehot,SV,,,poly,1.2889300032459343,,0.1921821829439103,0.954764885462652,0.0431974970534954,0.9782961059497924,8.839960377543491e-05,0.8585095868748764,0.058218941489527,2.0,11.6,0.9784542399683732,0.5913400306698985,0.9782961059497924,2.0,0.345872031569804
36,36,0,raw,polar,5FTE,SV,,,rbf,6.019781128893027,,0.1980605541217206,0.9571860556076592,0.0533972431280549,0.9780589049219212,0.0001397720460934,0.8434077881004152,0.1128288923703336,0.1702127659574468,1.6,0.9782565724451472,0.584272941283277,0.9780589049219212,,
37,37,0,raw,polar,WTE,SV,,,rbf,2.7892442326651974,,0.1213223279293785,0.9554218554391511,0.0548171575892928,0.9757264281478554,0.0013067004452293,0.8526190946827436,0.1375617276968005,1.125,3.8,0.9780589049219214,0.5162264150943396,0.9757264281478554,,
38,38,0,raw,polar,onehot,SV,,,rbf,9.862912817499126,,0.0474925688702108,0.9505254661659088,0.0790379842501324,0.9783751729590828,0.000108266961357,0.8098043091520063,0.2043999946139506,1.1875,11.0,0.9784542399683732,0.5885819610643261,0.9783751729590828,,
76,76,1,raw,2dpos,WTE,SV,16.0,5000.0,poly,0.0027675864809608,,0.6836264678941043,0.9577782170389404,0.0337331719328485,0.9758450286617908,0.0007955964339789,0.8664162878039138,0.0259462249133772,6.56,17.8,0.9772682348290176,0.5355122086469583,0.9758450286617908,2.0,0.1629309118150548
39,39,0,raw,raw,5FTE,SV,,,rbf,2.923883282569941,,0.1810341610316917,0.9359161889701524,0.1418732005324346,0.9782565724451472,0.0001397720460933,0.6559399090729394,0.3656858689077991,0.2,1.6,0.9784542399683732,0.5855908798921196,0.9782565724451472,,
53,53,1,1dpos,polar,onehot,SV,,,poly,0.8725060048432488,,0.2379625771915854,0.9623048033208144,0.0253641213094264,0.9790077090334058,0.0001653805152271,0.8980430915200632,0.0288846297146308,9.48,66.8,0.9792449100612768,0.6032717057829506,0.9790077090334058,2.0,0.4217498268472194
40,40,0,raw,raw,WTE,SV,,,rbf,1.6410095630892911,,0.2770897582162191,0.951036107267576,0.0661530098444908,0.9781775054358568,0.0001767992075508,0.8101996441984582,0.1469824122350284,0.1666666666666666,1.6,0.9784542399683732,0.5830836955993114,0.9781775054358568,,
41,41,0,raw,raw,onehot,SV,,,rbf,0.8166476895434497,,0.3942140423510762,0.9594150723589306,0.0318688022928944,0.9784542399683732,1.2412670766236366e-16,0.8770508005534691,0.0156962203037767,0.3191489361702128,2.6,0.9784542399683732,0.5844629734538475,0.9784542399683732,,
54,54,1,1dpos,raw,5FTE,SV,,,rbf,4.256173239157282,,0.0609093212133456,0.9611385649337816,0.027833028940573,0.9776635698754694,0.0001976675232259,0.8930223364301245,0.0259386943148296,1.32,5.6,0.9778612373986952,0.5769379687627862,0.9776635698754694,,
42,42,0,raw,zone,5FTE,SV,,,rbf,5.264032267478655,,0.1433438950518805,0.9561178098438426,0.0331234213100112,0.9784542399683732,0.0001397720460933,0.8755485273769519,0.0111236070512747,0.6458333333333334,3.8,0.9786519074915992,0.5899046115737928,0.9784542399683732,,
43,43,0,raw,zone,WTE,SV,,,rbf,8.302369592132425,,0.105388746731998,0.9545405036891216,0.0535277741845706,0.9781775054358568,0.0001767992075508,0.8341964815180866,0.1083504210604483,0.1428571428571428,1.4,0.9784542399683732,0.5843358449122593,0.9781775054358568,,
63,63,1,cyclic,elliptic,5FTE,SV,,,poly,3.1500282904000465,,0.5455810718306235,0.9417434275548529,0.1373295277797604,0.9787309745008896,0.0001767992075508,0.6809646175133426,0.3668450422331671,13.2,88.0,0.9788495750148252,0.5948849014629005,0.9787309745008896,2.0,0.4818790059592248
4,4,0,1dpos,elliptic,WTE,SV,,,poly,9.820656853149062,,0.1347773839455169,0.9657320217181932,0.019740325654541,0.9778217038940502,0.000257726918569,0.9143704289385256,0.0209165492902011,1.0,6.4,0.9780589049219214,0.5753091500411969,0.9778217038940502,2.0,0.1842267394170292
55,55,1,1dpos,raw,WTE,SV,,,rbf,1.49364150469141,,0.0976495568252209,0.9617948211108912,0.0242786946624547,0.9778217038940502,8.839960377543491e-05,0.906028859458391,0.0099135731614127,2.42,10.2,0.9778612373986952,0.5716516308119362,0.9778217038940502,,
84,84,1,raw,raw,5FTE,SV,,,poly,0.268038166765274,,0.4180412478913402,0.9394939711405416,0.1010767996625376,0.9774659023522436,0.0,0.7170982407590433,0.2275237942205294,22.3,201.0,0.9774659023522436,0.577719320373813,0.9774659023522436,3.0,0.0731112295719687
77,77,1,raw,2dpos,onehot,SV,16.0,5000.0,rbf,0.9624881148941647,,0.031163455620332,0.9534730183830796,0.0686707225579424,0.9774659023522436,0.0,0.8036766159320023,0.1609477022540155,6.24,40.8,0.9774659023522436,0.5730788274905922,0.9774659023522436,,
44,44,0,raw,zone,onehot,SV,,,poly,0.3957390584600282,,0.0427535210303439,0.9451049049783976,0.0960355935798157,0.9770310338011466,0.0002577269185689,0.7607827633919746,0.2386770639725383,1.3673469387755102,5.4,0.9774659023522436,0.5749648307896484,0.9770310338011466,3.0,0.2519575071387081
5,5,0,1dpos,elliptic,onehot,SV,,,poly,0.6633737888721086,,0.2119526105939522,0.9614225607222532,0.0289095748976357,0.978414706463728,0.0001653805152271,0.8888317849377347,0.0227212777788107,1.2857142857142858,10.6,0.9786519074915992,0.5921568531492497,0.978414706463728,2.0,0.3871568846185389
56,56,1,1dpos,raw,onehot,SV,,,rbf,6.160671321152272,,0.0664038330509882,0.9415022731765172,0.1376502404703159,0.9778217038940502,0.0001653805152271,0.6830994267641828,0.3718246801654379,2.1,9.4,0.9780589049219214,0.5793060951042912,0.9778217038940502,,
6,6,0,1dpos,polar,5FTE,SV,,,rbf,1.0790821676774345,,0.0877722790261132,0.9670484033090389,0.0153828185013962,0.9773868353429532,0.0002651988113263,0.9279699545364696,0.0116879855415692,0.0851063829787234,0.8,0.9778612373986952,0.5743376962339302,0.9773868353429532,,
78,78,1,raw,elliptic,5FTE,SV,,,rbf,1.1698599869380075,,0.0799682540241361,0.959687685313303,0.0305979144285995,0.9780589049219212,0.0001397720460934,0.8854714370428937,0.0124134575069884,1.28,6.8,0.9782565724451472,0.5817638223974467,0.9780589049219212,,
85,85,1,raw,raw,WTE,SV,,,rbf,4.996855085752937,,0.0647824020626891,0.9547657639849771,0.0465610337736981,0.9786914409962444,8.839960377543491e-05,0.8387428345522832,0.0642412456056925,1.9,9.4,0.9788495750148252,0.5901921947212735,0.9786914409962444,,
79,79,1,raw,elliptic,WTE,SV,,,rbf,9.808178829660108,,0.0408008679533878,0.9536864993081636,0.0592926355209541,0.9781775054358568,0.0002997776415912,0.8096066416287803,0.1069515932625307,1.32,5.6,0.9786519074915992,0.5840674374680415,0.9781775054358568,,
57,57,1,1dpos,zone,5FTE,SV,,,rbf,2.065735615560524,,0.0378093155911247,0.958659814192528,0.0274887702088794,0.9760031626803716,0.0004961415456814,0.892508400869737,0.0388564779805312,1.84,11.6,0.9768728997825658,0.543243101793184,0.9760031626803716,,
86,86,1,raw,raw,onehot,SV,,,rbf,2.3101674198199165,,0.1468870545125427,0.9627080450681954,0.0249153143810971,0.978612373986954,8.839960377543491e-05,0.9045661197865192,0.0170266219586587,1.44,6.0,0.9786519074915992,0.5892129726135473,0.978612373986954,,
64,64,1,cyclic,elliptic,WTE,SV,,,poly,1.2214242528924857,,0.967187635030348,0.9590788693417672,0.0314127164418095,0.9787309745008896,0.0001767992075508,0.8843249654081834,0.0190158828507333,5.4,30.2,0.9788495750148252,0.5954139604189257,0.9787309745008896,2.0,0.408624108209794
7,7,0,1dpos,polar,WTE,SV,,,rbf,2.8424329570902365,,0.0141110718152668,0.9487752849706792,0.094154085487561,0.975252026092113,0.000405097875705,0.7911444949594781,0.2602901752588032,2.520833333333333,13.4,0.975884562166436,0.5131849960243227,0.975252026092113,,
65,65,1,cyclic,elliptic,onehot,SV,,,poly,2.631202331074648,,0.0255003654941873,0.9571575410160108,0.035076840793777,0.9782565724451472,0.0001976675232259,0.8711998418659814,0.0262624942554007,1.38,6.0,0.9784542399683732,0.5871199106620077,0.9782565724451472,3.0,0.2568064947025357
58,58,1,1dpos,zone,WTE,SV,,,rbf,0.6642568254677595,,0.0862350968770231,0.9591579363510576,0.0234644768701267,0.976477564736114,0.0005590881843736,0.9017197074520656,0.0126826477455442,1.54,7.6,0.9774659023522436,0.5476091112799875,0.976477564736114,,
87,87,1,raw,zone,5FTE,SV,,,rbf,9.198423556929937,,0.081278491299887,0.9635422020162088,0.0251850126362017,0.9787309745008896,0.000108266961357,0.8987942281083218,0.0148862150559041,2.14,12.8,0.9788495750148252,0.5930360205831904,0.9787309745008896,,
8,8,0,1dpos,polar,onehot,SV,,,rbf,2.3689157338741245,,0.088133485955146,0.9627871120774856,0.0231915311736473,0.9781775054358568,0.0001767992075508,0.9065032615141332,0.0073867906467897,1.12,11.2,0.9784542399683732,0.5865641948633608,0.9781775054358568,,
59,59,1,1dpos,zone,onehot,SV,,,rbf,4.8202494732555845,,0.0585794085869726,0.9577663569875468,0.0395796796388044,0.9780984384265664,0.000216533922714,0.853528365289583,0.0507861301528099,2.54,13.0,0.9782565724451472,0.5876978173875419,0.9780984384265664,,
9,9,0,1dpos,raw,5FTE,SV,,,linear,7.697326458207452,,,0.9359073141017624,0.1406924634382074,0.9729590828226922,8.839960377543491e-05,0.6664953548132042,0.3681396537427006,1.959183673469388,7.2,0.973117216841273,0.4332488158666595,0.9729590828226922,,
45,45,1,1dpos,2dpos,5FTE,SV,16.0,5000.0,linear,8.60668045731752,,,0.95733148843645,0.0374411720924676,0.9754892271199844,1.2412670766236366e-16,0.8521842261316465,0.0070156656801265,10.2,55.4,0.9754892271199842,0.5199600470269409,0.9754892271199844,,
10,10,0,1dpos,raw,WTE,SV,,,rbf,1.384843154181581,,0.1298248670589443,0.9494616585515409,0.0675093965162018,0.9771101008104368,0.000324800884071,0.781379719312117,0.1163344327440082,0.4897959183673469,4.0,0.9774659023522436,0.5674251074649983,0.9771101008104368,,
11,11,0,1dpos,raw,onehot,SV,,,rbf,2.553961597554673,,0.0999569908482714,0.949954536469658,0.0646887667641688,0.9779403044079856,0.0001767992075509,0.8001581340185808,0.1290162613949419,0.22,1.8,0.9782565724451472,0.5785165083672547,0.9779403044079856,,
88,88,1,raw,zone,WTE,SV,,,rbf,1.03612084869812,,0.2768429102382925,0.9578217038940504,0.0296901967211294,0.9784937734730184,8.839960377543491e-05,0.8860644396125716,0.0169974531945149,7.74,65.8,0.9786519074915992,0.5895522388059702,0.9784937734730184,,
