value,duration,params_C,params_class_weight,params_coef0,params_degree,params_gamma,params_kernel,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9768728997825658,2,5.625396312553019,,,,0.06010452173432046,rbf,0.9768728997825658,0.5185185185185185,0.9654013444049031,1.0,0.9823961372095362,4883.0,1.0,0.005681818181818182,0.011299435028248588,176.0,0.9654081834354615,0.0,SV,worst
0.9768728997825658,2,3.5176227287605197,,,,0.08385115654489891,rbf,0.9768728997825658,0.5145228215767634,0.9756,0.9989760393200902,0.9871496509157138,4883.0,0.9152542372881356,0.3068181818181818,0.4595744680851064,176.0,0.9748962245503063,0.0,SV,worst
0.9768728997825658,2,5.705980222459907,,,,0.06062174037232983,rbf,0.9768728997825658,0.5185185185185185,0.9767860716429858,0.9995904157280361,0.9880566801619434,4883.0,0.967741935483871,0.3409090909090909,0.5042016806722689,176.0,0.9766752322593398,0.0,SV,worst
0.9768728997825658,2,5.850733677326184,,,,0.05965982025000246,rbf,0.9768728997825658,0.5185185185185185,0.9763952790558111,0.9995904157280361,0.9878567091681846,4883.0,0.9666666666666667,0.32954545454545453,0.4915254237288136,176.0,0.9762798972128879,0.0,SV,worst
0.9766752322593398,2,5.765362923412009,,,,0.06859807655602708,rbf,0.9766752322593398,0.512396694214876,0.977363782051282,0.9991808314560721,0.9881518987341772,4883.0,0.9402985074626866,0.35795454545454547,0.5185185185185185,176.0,0.9768728997825658,0.0,SV,worst
0.9766752322593398,1,2.369768972289745,,,,0.060115855954664184,rbf,0.9766752322593398,0.5042016806722689,0.9765906362545018,0.9995904157280361,0.9879566845460985,4883.0,0.9672131147540983,0.3352272727272727,0.4978902953586498,176.0,0.9764775647361138,0.0,SV,worst
0.9766752322593398,2,3.1694781844476148,,,,0.057319586816385805,rbf,0.9766752322593398,0.5042016806722689,0.977363782051282,0.9991808314560721,0.9881518987341772,4883.0,0.9402985074626866,0.35795454545454547,0.5185185185185185,176.0,0.9768728997825658,0.0,SV,worst
0.9766752322593398,2,2.267946679241539,,,,0.09421050706711225,rbf,0.9766752322593398,0.5083333333333333,0.9763858314988993,0.9991808314560721,0.9876518218623481,4883.0,0.9354838709677419,0.32954545454545453,0.48739495798319327,176.0,0.975884562166436,0.0,SV,worst
0.9766752322593398,2,5.819396895740655,,,,0.06691998201634534,rbf,0.9766752322593398,0.512396694214876,0.965592248368598,1.0,0.9824949698189135,4883.0,1.0,0.011363636363636364,0.02247191011235955,176.0,0.9656058509586875,0.0,SV,worst
0.9766752322593398,2,2.5661710060558724,,,,0.06781816956458447,rbf,0.9766752322593398,0.5042016806722689,0.9769769769769769,0.9993856235920541,0.9880542619963555,4883.0,0.953125,0.3465909090909091,0.5083333333333333,176.0,0.9766752322593398,0.0,SV,worst
