value,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_lambda,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9812215852935363,1,0.8486672130846779,0.09419895646128029,0.04451263842110719,8,450,0.03641181776542425,0.9812215852935363,0.6689895470383276,0.9838318512530315,0.9969281179602704,0.9903366900620486,4883.0,0.8648648648648649,0.5454545454545454,0.6689895470383276,176.0,0.9812215852935363,0.0,XG,best
0.9810239177703103,1,0.8052518592192259,0.0845771581597108,0.04839094965752039,7,500,0.027243564411994325,0.9810239177703103,0.6619718309859155,0.9834376893556858,0.9971329100962523,0.9902379499694935,4883.0,0.8703703703703703,0.5340909090909091,0.6619718309859155,176.0,0.9810239177703103,0.0,XG,best
0.9810239177703103,1,0.7692553890311078,0.079636713943076,0.039869015187257745,8,400,0.10102490081451769,0.9810239177703103,0.6619718309859155,0.9834376893556858,0.9971329100962523,0.9902379499694935,4883.0,0.8703703703703703,0.5340909090909091,0.6619718309859155,176.0,0.9810239177703103,0.0,XG,best
0.9810239177703103,1,0.6918574737339295,0.03323899559876429,0.05485802981461354,7,500,0.12881788031696018,0.9810239177703103,0.6619718309859155,0.9834376893556858,0.9971329100962523,0.9902379499694935,4883.0,0.8703703703703703,0.5340909090909091,0.6619718309859155,176.0,0.9810239177703103,0.0,XG,best
0.9810239177703103,2,0.8586613461139648,0.019347087748665424,0.03806642362114851,10,350,0.23296842816009028,0.9810239177703103,0.6643356643356644,0.9836330571832693,0.9969281179602704,0.9902359641985354,4883.0,0.8636363636363636,0.5397727272727273,0.6643356643356644,176.0,0.9810239177703103,0.0,XG,best
0.9810239177703103,2,0.7592412705671302,0.03898691441939549,0.06750044069054505,7,450,0.43557884367926764,0.9810239177703103,0.6619718309859155,0.9834376893556858,0.9971329100962523,0.9902379499694935,4883.0,0.8703703703703703,0.5340909090909091,0.6619718309859155,176.0,0.9810239177703103,0.0,XG,best
0.9808262502470844,1,0.7558098705988583,0.027032771363898936,0.054114334634337784,7,400,0.15072521609182404,0.9808262502470844,0.6548042704626335,0.98304400484457,0.9973377022322343,0.9901392701026736,4883.0,0.8761904761904762,0.5227272727272727,0.6548042704626335,176.0,0.9808262502470844,0.0,XG,best
0.9808262502470844,1,0.8615741631398905,0.019098615681343783,0.06410102350633437,8,400,0.03626829347235769,0.9808262502470844,0.662020905923345,0.9836297493936944,0.9967233258242884,0.9901332519580918,4883.0,0.8558558558558559,0.5397727272727273,0.662020905923345,176.0,0.9808262502470844,0.0,XG,best
0.9808262502470844,1,0.855530971193448,0.11059904526624348,0.04868168905181627,7,450,0.038428194605027416,0.9808262502470844,0.657243816254417,0.9832390953150242,0.9971329100962523,0.9901372648703609,4883.0,0.8691588785046729,0.5284090909090909,0.657243816254417,176.0,0.9808262502470844,0.0,XG,best
0.9808262502470844,2,0.8484215129916302,0.09243357086307079,0.030099702125543606,8,450,0.014787226458487058,0.9808262502470844,0.6596491228070176,0.9834343434343434,0.9969281179602704,0.990135258822333,4883.0,0.8623853211009175,0.5340909090909091,0.6596491228070176,176.0,0.9808262502470844,0.0,XG,best
0.9806285827238584,1,0.8717024384868939,0.04273443793840007,0.03926473823688082,8,400,0.1152739356954991,0.9806285827238584,0.6549295774647887,0.9832357099575844,0.9969281179602704,0.9900345739271914,4883.0,0.8611111111111112,0.5284090909090909,0.6549295774647887,176.0,0.9806285827238584,0.0,XG,best
0.9806285827238584,1,0.6948553062250449,0.05569515550583071,0.05216063041197547,7,400,0.020202169245950377,0.9806285827238584,0.6549295774647887,0.9832357099575844,0.9969281179602704,0.9900345739271914,4883.0,0.8611111111111112,0.5284090909090909,0.6549295774647887,176.0,0.9806285827238584,0.0,XG,best
0.9806285827238584,1,0.813266837557344,0.05795943667621819,0.051111969191214066,8,350,0.03053088147450142,0.9806285827238584,0.6573426573426573,0.9834309961608406,0.9967233258242884,0.9900325467860048,4883.0,0.8545454545454545,0.5340909090909091,0.6573426573426573,176.0,0.9806285827238584,0.0,XG,best
0.9806285827238584,1,0.7181907778005344,0.08295841609763711,0.05484131299160665,7,500,0.13835030823898392,0.9806285827238584,0.6524822695035462,0.9830405814657783,0.9971329100962523,0.9900366002440016,4883.0,0.8679245283018868,0.5227272727272727,0.6524822695035462,176.0,0.9806285827238584,0.0,XG,best
0.9804309152006325,1,0.8919017433245164,0.01748773537844721,0.06021025266590291,7,400,0.46206734122691107,0.9804309152006325,0.6526315789473685,0.9832323232323232,0.9967233258242884,0.9899318620970202,4883.0,0.8532110091743119,0.5284090909090909,0.6526315789473685,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,2,0.8464112039499021,0.015766710695295564,0.04205075807454622,9,500,0.17472745340711582,0.9804309152006325,0.6526315789473685,0.9832323232323232,0.9967233258242884,0.9899318620970202,4883.0,0.8532110091743119,0.5284090909090909,0.6526315789473685,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,1,0.8117596929135155,0.01029703741566403,0.049598196765154104,7,300,0.2943218588417907,0.9804309152006325,0.6476868327402135,0.9828421477593864,0.9971329100962523,0.989935956084172,4883.0,0.8666666666666667,0.5170454545454546,0.6476868327402135,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,2,0.7335509645715614,0.030925960670141042,0.062440169014671844,8,400,0.0629898661835761,0.9804309152006325,0.6526315789473685,0.9832323232323232,0.9967233258242884,0.9899318620970202,4883.0,0.8532110091743119,0.5284090909090909,0.6526315789473685,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,2,0.8062132295770332,0.03099974087007004,0.04754649057937281,8,450,0.23388491471271491,0.9804309152006325,0.6526315789473685,0.9832323232323232,0.9967233258242884,0.9899318620970202,4883.0,0.8532110091743119,0.5284090909090909,0.6526315789473685,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,2,0.8516222739918196,0.018410618007334224,0.03809051649225718,10,350,0.23620129015232427,0.9804309152006325,0.657439446366782,0.9836231298018601,0.9963137415523244,0.9899277647776986,4883.0,0.8407079646017699,0.5397727272727273,0.657439446366782,176.0,0.9804309152006325,0.0,XG,best
0.9804309152006325,2,0.8566521818500829,0.03695481738598456,0.0339529751008658,8,400,0.051961021335962906,0.9804309152006325,0.6526315789473685,0.9832323232323232,0.9967233258242884,0.9899318620970202,4883.0,0.8532110091743119,0.5284090909090909,0.6526315789473685,176.0,0.9804309152006325,0.0,XG,best
0.9802332476774066,2,0.7545882860211816,0.08035735622308396,0.04781232528608374,7,500,0.027682357136382486,0.9802332476774066,0.647887323943662,0.983033730559483,0.9967233258242884,0.9898311978848892,4883.0,0.8518518518518519,0.5227272727272727,0.647887323943662,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,1,0.8522882424024055,0.010701211850555965,0.05328616470631797,9,250,0.00014545838014994966,0.9802332476774066,0.6527777777777778,0.9834242975540731,0.9963137415523244,0.9898270600203459,4883.0,0.8392857142857143,0.5340909090909091,0.6527777777777778,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,1,0.793770361329416,0.012884443919692299,0.07966796442983785,7,350,0.7767044856333307,0.9802332476774066,0.6453900709219859,0.9828386836260852,0.9969281179602704,0.9898332655551036,4883.0,0.8584905660377359,0.5170454545454546,0.6453900709219859,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,1,0.6520524286606206,0.03134743964292623,0.03430878590573162,7,450,0.3213557478080195,0.9802332476774066,0.6428571428571429,0.9826437941473259,0.9971329100962523,0.9898353323846311,4883.0,0.8653846153846154,0.5113636363636364,0.6428571428571429,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,2,0.8393582874304519,0.06847002285553744,0.04008457644173728,8,450,0.03972626436468087,0.9802332476774066,0.6453900709219859,0.9828386836260852,0.9969281179602704,0.9898332655551036,4883.0,0.8584905660377359,0.5170454545454546,0.6453900709219859,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,1,0.8593174162643461,0.15005052406603497,0.04942010563944761,7,500,0.11615328645137588,0.9802332476774066,0.6453900709219859,0.9828386836260852,0.9969281179602704,0.9898332655551036,4883.0,0.8584905660377359,0.5170454545454546,0.6453900709219859,176.0,0.9802332476774066,0.0,XG,best
0.9802332476774066,1,0.769398367933702,0.04719059544871324,0.0558620970554716,7,500,0.07604981663399774,0.9802332476774066,0.6453900709219859,0.9828386836260852,0.9969281179602704,0.9898332655551036,4883.0,0.8584905660377359,0.5170454545454546,0.6453900709219859,176.0,0.9802332476774066,0.0,XG,best
