Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,iterations,learning_rate,depth,l2_leaf_reg,random_strength,auto_class_weights,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,270,0,1dpos,2dpos,catboost,CB,16.0,5000.0,800,0.0984471757270659,9,5.705198600559974,0.2057944135767259,,0.975900375568294,0.0095132069876581,0.9788891085194702,8.839960377543491e-05,0.9598734927851352,0.0272186098007858,7.42,20.8,0.979047242538051,0.6027568513344981,0.9788891085194702
1,271,0,1dpos,elliptic,catboost,CB,,,600,0.068731935376266,8,0.9060842645776634,4.153607747992023,,0.9739830005930026,0.0154714970326904,0.9795611780984383,0.000108266961357,0.9308559003755684,0.0184305224095694,5.02,10.4,0.9796402451077288,0.6291691103511546,0.9795611780984383
2,272,0,1dpos,polar,catboost,CB,,,500,0.1612564454029631,8,0.4900595097502928,1.2847769121567254,,0.9770587072543984,0.0103408499376442,0.9801146471634712,0.0001767992075508,0.9590828226922316,0.0292257298882947,3.82,10.4,0.9804309152006324,0.6334262470821461,0.9801146471634712
3,273,0,1dpos,raw,catboost,CB,,,800,0.0478575033336059,8,4.878236623436608,1.9158669180154944,,0.9773986953943468,0.0073706194519363,0.9797983791263096,8.839960377543491e-05,0.9650919153983,0.0211834669200804,5.98,13.6,0.9798379126309548,0.6215086109662977,0.9797983791263096
4,274,0,1dpos,zone,catboost,CB,,,400,0.0299139073546994,9,0.9189286004645372,0.3305661747780644,SqrtBalanced,0.9766119786519076,0.0103072542388652,0.9805890492192132,0.0001653805152271,0.9526783949397114,0.0219551587999529,3.96,9.0,0.9808262502470844,0.6480586095188204,0.9805890492192132
5,275,0,cyclic,2dpos,catboost,CB,16.0,5000.0,300,0.2914819334332797,3,3.738474238952482,1.7470146279364318,,0.9726190946827435,0.0167435362758165,0.9786519074915992,0.0001976675232259,0.930579165843052,0.0306930629606207,2.18,10.6,0.9788495750148252,0.6075099993398104,0.9786519074915992
6,276,0,cyclic,elliptic,catboost,CB,,,700,0.083201508037815,7,0.5342762821272737,1.880313401153028,,0.971867958094485,0.0177878555451742,0.9797588456216644,0.0001767992075508,0.9233050009883376,0.013209752478042,2.98,6.2,0.9800355801541808,0.6343948659614823,0.9797588456216644
7,277,0,cyclic,polar,catboost,CB,,,700,0.053782481052029,10,5.3664935962033375,1.1497335698001088,,0.9767542992686302,0.0088898824555031,0.9808262502470844,0.0001397720460933,0.9537457995651314,0.0144046605074576,6.18,13.4,0.9810239177703104,0.6518845550088402,0.9808262502470844
8,278,0,cyclic,raw,catboost,CB,,,800,0.1862445254643542,9,5.572660823291747,1.980206765522698,,0.9765566317454044,0.0117521884452386,0.9808262502470844,0.0001976675232259,0.9520063253607433,0.028819287679462,7.24,14.4,0.9810239177703104,0.6577513156580392,0.9808262502470844
9,279,0,cyclic,zone,catboost,CB,,,600,0.1048125475433708,8,0.2204592584219517,2.355436306373212,,0.9755682941292746,0.0139835357049137,0.9808262502470844,0.0001397720460933,0.9412136785926072,0.0271620639439095,4.64,11.8,0.9810239177703104,0.6587712713950709,0.9808262502470844
