value,duration,params_auto_class_weights,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9808262502470844,31,,10,400,0.9502781147933478,0.07645109306752391,2.5144960616515197,0.9808262502470844,0.6498194945848376,0.982654296087132,0.9977472865041982,0.9901432781221421,4883.0,0.8910891089108911,0.5113636363636364,0.6498194945848376,176.0,0.9808262502470844,0.0,CB,best
0.9808262502470844,15,,10,200,0.950155203936774,0.09439443733617654,2.766955834066371,0.9808262502470844,0.6498194945848376,0.982654296087132,0.9977472865041982,0.9901432781221421,4883.0,0.8910891089108911,0.5113636363636364,0.6498194945848376,176.0,0.9808262502470844,0.0,CB,best
0.9806285827238584,16,,10,200,0.3718409365317001,0.0816028721715489,2.5733128752509766,0.9806285827238584,0.644927536231884,0.9824561403508771,0.9977472865041982,0.9900426742532006,4883.0,0.89,0.5056818181818182,0.644927536231884,176.0,0.9806285827238584,0.0,CB,best
0.9804309152006325,15,,10,200,0.31210249890681213,0.08363007090610171,2.2198392012153643,0.9804309152006325,0.64,0.9822580645161291,0.9977472865041982,0.9899420908259677,4883.0,0.8888888888888888,0.5,0.64,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,15,,10,200,0.27088220739966495,0.10165112381952511,2.6552059724335093,0.9804309152006325,0.6425992779783394,0.9824526018555869,0.9975424943682163,0.9899400467432171,4883.0,0.8811881188118812,0.5056818181818182,0.6425992779783394,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,15,,10,200,0.5890020321723007,0.09650442421581013,2.667518443052891,0.9804309152006325,0.6425992779783394,0.9824526018555869,0.9975424943682163,0.9899400467432171,4883.0,0.8811881188118812,0.5056818181818182,0.6425992779783394,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,265,,10,700,1.244075679939274,0.06641348207468606,3.4110536220853156,0.9804309152006325,0.6476868327402135,0.9828421477593864,0.9971329100962523,0.989935956084172,4883.0,0.8666666666666667,0.5170454545454546,0.6476868327402135,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,15,,10,200,1.805230888605971,0.04030849857104737,2.9866689025038884,0.9804309152006325,0.6373626373626373,0.9820636839983877,0.9979520786401802,0.9899441340782122,4883.0,0.8969072164948454,0.4943181818181818,0.6373626373626373,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,15,,10,200,0.9366915427728931,0.09357709579958085,2.9575685194021837,0.9804309152006325,0.6373626373626373,0.9820636839983877,0.9979520786401802,0.9899441340782122,4883.0,0.8969072164948454,0.4943181818181818,0.6373626373626373,176.0,0.9804309152006325,0.0,CB,best
0.9804309152006325,15,,10,200,0.9487165604661572,0.09345264822908202,2.967347784223301,0.9804309152006325,0.6373626373626373,0.9820636839983877,0.9979520786401802,0.9899441340782122,4883.0,0.8969072164948454,0.4943181818181818,0.6373626373626373,176.0,0.9804309152006325,0.0,CB,best
