Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,390,0,1dpos,2dpos,5FTE,LR,16.0,5000.0,919.4732466067912,l1,,0.9428305989325956,0.0644003280670348,0.9757264281478554,8.839960377543491e-05,0.8045463530341965,0.014106870702143,2.02,4.0,0.975884562166436,0.5225469791572406,0.9757264281478554
1,391,0,1dpos,2dpos,WTE,LR,16.0,5000.0,6630.135774278422,l1,,0.937904724253805,0.0689901094369393,0.9757659616525004,0.000108266961357,0.7973907886934176,0.0081067786734176,1.44,4.2,0.975884562166436,0.5213954580896825,0.9757659616525004
2,392,0,1dpos,2dpos,onehot,LR,16.0,5000.0,17.70264911969766,l2,,0.9457402648744812,0.0597945474634358,0.976912433287211,8.839960377543491e-05,0.8256572445147261,0.0065692861663901,0.5,4.0,0.9770705673057916,0.552829692024217,0.976912433287211
3,393,0,1dpos,elliptic,5FTE,LR,,,0.5128791713623108,l1,,0.9470369638268432,0.0550929349265019,0.975014825064242,0.000108266961357,0.8234829017592409,0.0233678630027921,1.76,4.2,0.9750938920735324,0.4960503937007874,0.975014825064242
4,394,0,1dpos,elliptic,WTE,LR,,,13.412400076062005,l2,,0.942118995848982,0.0599375002468872,0.975014825064242,0.000108266961357,0.8185412136785924,0.0218925148101937,0.34,3.2,0.9750938920735324,0.4960251968503937,0.975014825064242
5,395,0,1dpos,elliptic,onehot,LR,,,18.79051845173405,l2,,0.9447637873097452,0.0609128942382527,0.976082229689662,1.2412670766236366e-16,0.8189365487250445,0.0141770476987871,0.5,3.2,0.976082229689662,0.5194526242854669,0.976082229689662
6,396,0,1dpos,polar,5FTE,LR,,,9762.336656237978,l1,,0.9506621862028068,0.0492886905293949,0.9750938920735324,0.0,0.8424194504842856,0.0139662981345601,1.84,4.0,0.9750938920735324,0.5,0.9750938920735324
7,397,0,1dpos,polar,WTE,LR,,,236.377003870532,l1,,0.9507531132634912,0.0495036494127616,0.9750938920735324,0.0,0.8425380509982212,0.0184941182682201,1.04,3.2,0.9750938920735324,0.5,0.9750938920735324
8,398,0,1dpos,polar,onehot,LR,,,57.21621728546584,l2,,0.9457086380707648,0.0596228631527403,0.975884562166436,0.0,0.8172761415299468,0.009962717705031,0.42,2.8,0.975884562166436,0.5138749984315203,0.975884562166436
9,399,0,1dpos,raw,5FTE,LR,,,8841.29986955008,l2,,0.9418541213678592,0.0638668501362918,0.9740264874481124,0.0001767992075508,0.7971931211701917,0.0274725858879245,0.58,3.0,0.9743032219806286,0.4838813783387371,0.9740264874481124
10,400,0,1dpos,raw,WTE,LR,,,5797.681292898603,l1,,0.945578177505436,0.0594146652159575,0.9739078869341768,0.0,0.8095275746194901,0.0329122658871905,0.32,2.2,0.9739078869341768,0.4803149606299212,0.9739078869341768
11,401,0,1dpos,raw,onehot,LR,,,1721.103256435341,l1,,0.9449337813797192,0.0578159157543856,0.9746985570270804,1.2412670766236366e-16,0.826685115635501,0.0178199218155666,1.16,3.4,0.9746985570270804,0.5,0.9746985570270804
12,402,0,1dpos,zone,5FTE,LR,,,1658.6655720869371,l2,,0.945487250444752,0.0599674476171551,0.9741055544574028,0.0,0.8055742241549714,0.0322993208867751,1.0,3.6,0.9741055544574028,0.4822134387351778,0.9741055544574028
13,403,0,1dpos,zone,WTE,LR,,,6276.496376648753,l1,,0.9477169401067403,0.0552136988148657,0.9741055544574028,0.0,0.8261316465704684,0.0315413205295215,1.48,3.4,0.9741055544574028,0.4822134387351778,0.9741055544574028
14,404,0,1dpos,zone,onehot,LR,,,6447.141565444903,l1,,0.9489543388021348,0.0558095286309483,0.9778612373986956,1.2412670766236366e-16,0.8322988732951175,0.017235429233708,1.74,4.0,0.9778612373986952,0.5789473684210527,0.9778612373986956
15,405,0,cyclic,2dpos,5FTE,LR,16.0,5000.0,0.4334317998255971,l1,,0.9295354813204192,0.14151660011852,0.9759240956710812,8.839960377543491e-05,0.6493773473018384,0.3440063340164945,1.26,3.6,0.976082229689662,0.5162840700689306,0.9759240956710812
16,406,0,cyclic,2dpos,WTE,LR,16.0,5000.0,0.548397032418084,l1,,0.9431666337220797,0.062370536151108,0.975647361138565,0.000216533922714,0.8092113065823285,0.0107863818579568,1.8,3.4,0.975884562166436,0.5141986157980252,0.975647361138565
17,407,0,cyclic,2dpos,onehot,LR,16.0,5000.0,3233.4998644892207,l1,,0.9406127693220004,0.063412954666578,0.9773077683336628,8.839960377543491e-05,0.8265665151215655,0.0045347359677553,1.88,4.0,0.9774659023522436,0.5664665523156088,0.9773077683336628
18,408,0,cyclic,elliptic,5FTE,LR,,,3.2697084563656955,l2,,0.946918363312908,0.0568758811915711,0.9750938920735324,0.0,0.8222968966198854,0.0169008622209537,0.74,3.4,0.9750938920735324,0.4924555745272877,0.9750938920735324
19,409,0,cyclic,elliptic,WTE,LR,,,2.4475306689154506,l2,,0.945313303024313,0.060594262033891,0.9750938920735324,0.0,0.8077485669104567,0.0196669748994121,0.14,1.4,0.9750938920735324,0.4908965430704561,0.9750938920735324
20,410,0,cyclic,elliptic,onehot,LR,,,8805.79750527251,l2,,0.9450444751927256,0.0615074078763765,0.9765566317454042,0.000108266961357,0.8169203399881398,0.0244874082825926,0.38,2.8,0.9766752322593398,0.5392332518927396,0.9765566317454042
21,411,0,cyclic,polar,5FTE,LR,,,236.46939006175884,l2,,0.9393200237201028,0.0628749579937614,0.975410160110694,0.000108266961357,0.8210713579758846,0.012123482757874,1.12,3.4,0.9754892271199842,0.5121357751578932,0.975410160110694
22,412,0,cyclic,polar,WTE,LR,,,317.7824303632855,l2,,0.9474322988732948,0.058566341198538,0.9754892271199844,1.2412670766236366e-16,0.8173156750345918,0.0120588530213672,0.38,2.8,0.9754892271199842,0.5125738188976378,0.9754892271199844
