value,duration,params_C,params_class_weight,params_penalty,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9782565724451473,20,23.83916984021866,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,21.124863438433678,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,21.39654499776155,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,22.53928837215479,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,25.059171891245082,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,25.9943829919863,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,19,18.724168631870352,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,23.71581622400611,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,20,22.919016359563212,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,19,23.438186414184933,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,19,23.55635000371621,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
0.9782565724451473,19,23.113200680651268,,l2,0.9782565724451473,0.5864661654135338,0.9802777218756289,0.9975424943682163,0.988834754364596,4883.0,0.8666666666666667,0.4431818181818182,0.5864661654135338,176.0,0.9782565724451473,0.0,LR,best
