Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
0,300,0,1dpos,2dpos,5FTE,NN,16.0,5000.0,3,512,128.0,256.0,0.0025352434217668,400,0.360437726137734,0.0009323353575077,0.9736390591025894,0.003814722963027,0.9765961652500492,0.0003590808880131,0.9652105159122356,1.2412670766236366e-16,0.08,0.8,0.9770705673057916,0.5472396669336794,0.9765961652500492
1,301,0,1dpos,2dpos,WTE,NN,16.0,5000.0,2,128,512.0,,0.0376120208029495,500,0.4113829928792693,0.0005302108123428,0.973042103182447,0.0044879918795851,0.9765170982407588,0.000216533922714,0.9652105159122356,1.2412670766236366e-16,0.44,1.0,0.9768728997825658,0.5477535344043296,0.9765170982407588
2,302,0,1dpos,2dpos,onehot,NN,16.0,5000.0,2,512,128.0,,0.0031525792356838,300,0.2608699795860285,0.0003782159344487,0.9736192923502668,0.0050709753712769,0.9773077683336628,0.000216533922714,0.9652105159122356,1.2412670766236366e-16,0.22,1.0,0.9774659023522436,0.5726495326095076,0.9773077683336628
3,303,0,1dpos,elliptic,5FTE,NN,,,2,256,256.0,,0.0218089263342316,400,0.2122333168217871,7.453558973826364e-05,0.970610792646768,0.0050462635069513,0.9758450286617908,8.839960377543491e-05,0.9652105159122356,1.2412670766236366e-16,0.08,0.8,0.975884562166436,0.5266418862371285,0.9758450286617908
4,304,0,1dpos,elliptic,WTE,NN,,,2,256,256.0,,0.0304001419060518,300,0.0380929523191679,0.0001002687130385,0.9711326349080844,0.0049828989475524,0.9757659616525004,0.0001767992075508,0.9652105159122356,1.2412670766236366e-16,0.06,0.6,0.976082229689662,0.5265410984042161,0.9757659616525004
5,305,0,1dpos,elliptic,onehot,NN,,,3,128,256.0,256.0,0.0117235618230435,500,0.3864210184949594,0.0001687147795065,0.972417473809053,0.0053897592888476,0.9772682348290176,0.0002420922853116,0.9652105159122356,1.2412670766236366e-16,0.22,1.0,0.9776635698754694,0.5461921094156938,0.9772682348290176
6,306,0,1dpos,polar,5FTE,NN,,,2,256,512.0,,0.0244275889698523,400,0.0038206136434741,7.211097814067765e-05,0.971753310931014,0.0051986320860797,0.9763589642221784,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.2,1.0,0.9764775647361138,0.5395819777499166,0.9763589642221784
7,307,0,1dpos,polar,WTE,NN,,,3,256,256.0,128.0,0.0044519448720777,500,0.3601200566317482,0.0001202158733584,0.9726111879818145,0.0049244990310303,0.9763984977268236,0.0001767992075509,0.9652105159122356,1.2412670766236366e-16,0.56,1.0,0.9766752322593398,0.5435151566571182,0.9763984977268236
8,308,0,1dpos,polar,onehot,NN,,,3,128,256.0,128.0,0.0065849003148959,400,0.461608948986882,0.0001367316891496,0.9725597944257758,0.0053565881740709,0.9770310338011464,8.839960377543491e-05,0.9652105159122356,1.2412670766236366e-16,0.44,1.0,0.9770705673057916,0.5408637873754152,0.9770310338011464
9,309,0,1dpos,raw,5FTE,NN,,,3,256,512.0,128.0,0.0018585513948279,500,0.1230160588395094,0.0002212134611915,0.9720339988139948,0.0050148466813229,0.9761612966989522,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.5,1.0,0.976279897212888,0.5307368583146793,0.9761612966989522
