value,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9776635698754694,35,40,log2,0.8757832735026699,1,4,400,0.9776635698754694,0.5349794238683128,0.9777644230769231,0.9995904157280361,0.9885569620253165,4883.0,0.9701492537313433,0.3693181818181818,0.5349794238683128,176.0,0.9776635698754694,0.0,RF,worst
0.9774659023522435,76,20,log2,0.8938442311735998,1,2,950,0.9774659023522435,0.5289256198347108,0.9775685960344482,0.9995904157280361,0.988456865127582,4883.0,0.9696969696969697,0.36363636363636365,0.5289256198347108,176.0,0.9774659023522435,0.0,RF,worst
0.9774659023522435,66,20,log2,0.9124172999027169,1,2,850,0.9774659023522435,0.5289256198347108,0.9775685960344482,0.9995904157280361,0.988456865127582,4883.0,0.9696969696969697,0.36363636363636365,0.5289256198347108,176.0,0.9774659023522435,0.0,RF,worst
0.9774659023522435,56,20,log2,0.8646277397194848,1,2,650,0.9774659023522435,0.5289256198347108,0.9775685960344482,0.9995904157280361,0.988456865127582,4883.0,0.9696969696969697,0.36363636363636365,0.5289256198347108,176.0,0.9774659023522435,0.0,RF,worst
0.9774659023522435,56,20,log2,0.8221224751257192,1,2,800,0.9774659023522435,0.5289256198347108,0.9775685960344482,0.9995904157280361,0.988456865127582,4883.0,0.9696969696969697,0.36363636363636365,0.5289256198347108,176.0,0.9774659023522435,0.0,RF,worst
0.9774659023522435,68,20,log2,0.9100884429599514,1,2,900,0.9774659023522435,0.5289256198347108,0.9775685960344482,0.9995904157280361,0.988456865127582,4883.0,0.9696969696969697,0.36363636363636365,0.5289256198347108,176.0,0.9774659023522435,0.0,RF,worst
0.9772682348290176,21,25,log2,0.8967684457838803,1,3,250,0.9772682348290176,0.5267489711934157,0.9775641025641025,0.9993856235920541,0.9883544303797468,4883.0,0.9552238805970149,0.36363636363636365,0.5267489711934157,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,65,20,log2,0.8183049220714183,1,2,900,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,66,20,log2,0.8246168501251945,1,2,900,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,68,20,log2,0.8245189617190622,1,2,950,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,34,40,log2,0.8776895427460564,1,4,400,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,41,40,log2,0.8527792938346211,1,4,500,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,77,20,log2,0.8778452170622172,1,2,950,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,26,30,log2,0.9279898722878422,1,7,300,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,74,20,sqrt,0.8736582558566816,1,2,600,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,83,45,log2,0.8641790147022657,1,4,900,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,47,40,log2,0.8760946047319089,1,4,500,0.9772682348290176,0.5267489711934157,0.9775641025641025,0.9993856235920541,0.9883544303797468,4883.0,0.9552238805970149,0.36363636363636365,0.5267489711934157,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,54,20,log2,0.918241405941298,1,4,700,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,54,20,log2,0.7973623291325095,1,2,800,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,65,20,log2,0.8243237086231828,1,2,850,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,54,20,log2,0.8205718001603894,1,4,750,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,27,20,log2,0.7795861038203048,1,2,400,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,63,20,log2,0.942928369851242,1,3,850,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9772682348290176,63,20,log2,0.822864713250581,1,2,850,0.9772682348290176,0.5228215767634855,0.9773728474169002,0.9995904157280361,0.9883567884985319,4883.0,0.9692307692307692,0.35795454545454547,0.5228215767634855,176.0,0.9772682348290176,0.0,RF,worst
0.9770705673057917,106,20,log2,0.8133697322622772,1,2,900,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,72,20,log2,0.8379839973483306,1,2,950,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,51,20,log2,0.8189884465244504,1,2,750,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,34,40,log2,0.8706015304019458,1,6,400,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,92,20,log2,0.8498955073577006,1,2,850,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,26,20,log2,0.9235673025090196,1,3,350,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,159,20,sqrt,0.9474429333576118,1,7,750,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,68,25,log2,0.9178408651644213,1,4,800,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,74,20,log2,0.8609194832207295,1,2,1000,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9770705673057917,70,20,log2,0.8062944380661465,1,2,900,0.9770705673057917,0.5166666666666667,0.9771771771771772,0.9995904157280361,0.9882567321320105,4883.0,0.96875,0.3522727272727273,0.5166666666666667,176.0,0.9770705673057917,0.0,RF,worst
0.9768728997825658,50,20,log2,0.8491603140321761,1,2,650,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9768728997825658,67,30,log2,0.739295724032447,1,4,800,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9768728997825658,43,40,log2,0.8525909510652353,1,5,500,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9768728997825658,49,20,log2,0.838261733781265,1,4,650,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9768728997825658,70,20,log2,0.781468735888351,1,2,850,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9768728997825658,121,20,log2,0.8159237139761656,1,3,950,0.9768728997825658,0.5104602510460251,0.9769815852682145,0.9995904157280361,0.9881566960218645,4883.0,0.9682539682539683,0.3465909090909091,0.5104602510460251,176.0,0.9768728997825658,0.0,RF,worst
0.9766752322593398,70,20,log2,0.8430583697710659,1,2,900,0.9766752322593398,0.5042016806722689,0.9767860716429858,0.9995904157280361,0.9880566801619434,4883.0,0.967741935483871,0.3409090909090909,0.5042016806722689,176.0,0.9766752322593398,0.0,RF,worst
0.9766752322593398,114,20,log2,0.7741510467574045,1,2,900,0.9766752322593398,0.5042016806722689,0.9767860716429858,0.9995904157280361,0.9880566801619434,4883.0,0.967741935483871,0.3409090909090909,0.5042016806722689,176.0,0.9766752322593398,0.0,RF,worst
0.9766752322593398,60,30,log2,0.7462292350518369,1,4,800,0.9766752322593398,0.5042016806722689,0.9767860716429858,0.9995904157280361,0.9880566801619434,4883.0,0.967741935483871,0.3409090909090909,0.5042016806722689,176.0,0.9766752322593398,0.0,RF,worst
0.9764775647361138,39,40,log2,0.9077260416946633,1,3,450,0.9764775647361138,0.5258964143426295,0.9779293739967897,0.9981568707761622,0.9879395966352488,4883.0,0.88,0.375,0.5258964143426295,176.0,0.9764775647361138,0.0,RF,worst
0.9764775647361138,108,20,sqrt,0.8788677241975524,2,2,950,0.9764775647361138,0.4978902953586498,0.9765906362545018,0.9995904157280361,0.9879566845460985,4883.0,0.9672131147540983,0.3352272727272727,0.4978902953586498,176.0,0.9764775647361138,0.0,RF,worst
0.9764775647361138,59,20,log2,0.7946917958784525,1,5,850,0.9764775647361138,0.4978902953586498,0.9765906362545018,0.9995904157280361,0.9879566845460985,4883.0,0.9672131147540983,0.3352272727272727,0.4978902953586498,176.0,0.9764775647361138,0.0,RF,worst
0.9764775647361138,75,20,sqrt,0.8286443488661336,1,10,700,0.9764775647361138,0.49361702127659574,0.9764,0.999795207864018,0.9879591217241728,4883.0,0.9830508474576272,0.32954545454545453,0.49361702127659574,176.0,0.9764775647361138,0.0,RF,worst
0.9762798972128879,94,45,sqrt,0.8677949042130068,3,3,650,0.9762798972128879,0.48717948717948717,0.9762047590481904,0.999795207864018,0.9878591663294213,4883.0,0.9827586206896551,0.32386363636363635,0.48717948717948717,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,58,50,log2,0.8620048942567877,2,3,700,0.9762798972128879,0.4915254237288136,0.9763952790558111,0.9995904157280361,0.9878567091681846,4883.0,0.9666666666666667,0.32954545454545453,0.4915254237288136,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,62,30,log2,0.6960336037883194,1,6,900,0.9762798972128879,0.4915254237288136,0.9763952790558111,0.9995904157280361,0.9878567091681846,4883.0,0.9666666666666667,0.32954545454545453,0.4915254237288136,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,96,20,sqrt,0.78183870368298,3,2,950,0.9762798972128879,0.48717948717948717,0.9762047590481904,0.999795207864018,0.9878591663294213,4883.0,0.9827586206896551,0.32386363636363635,0.48717948717948717,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,68,40,log2,0.9737542672227124,2,3,750,0.9762798972128879,0.4915254237288136,0.9763952790558111,0.9995904157280361,0.9878567091681846,4883.0,0.9666666666666667,0.32954545454545453,0.4915254237288136,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,69,30,log2,0.9481048246366808,2,3,800,0.9762798972128879,0.4915254237288136,0.9763952790558111,0.9995904157280361,0.9878567091681846,4883.0,0.9666666666666667,0.32954545454545453,0.4915254237288136,176.0,0.9762798972128879,0.0,RF,worst
0.9762798972128879,85,50,log2,0.9355462812668822,1,3,800,0.9762798972128879,0.52,0.9777331995987963,0.9981568707761622,0.9878394811511958,4883.0,0.8783783783783784,0.3693181818181818,0.52,176.0,0.9762798972128879,0.0,RF,worst
0.976082229689662,67,20,log2,0.7997442021932734,1,9,950,0.976082229689662,0.48068669527896996,0.9760095961615354,0.999795207864018,0.9877592311583206,4883.0,0.9824561403508771,0.3181818181818182,0.48068669527896996,176.0,0.976082229689662,0.0,RF,worst
0.976082229689662,71,15,log2,0.9613965916013704,2,2,1000,0.976082229689662,0.48068669527896996,0.9760095961615354,0.999795207864018,0.9877592311583206,4883.0,0.9824561403508771,0.3181818181818182,0.48068669527896996,176.0,0.976082229689662,0.0,RF,worst
0.976082229689662,77,20,log2,0.8565278514391594,2,3,900,0.976082229689662,0.4851063829787234,0.9762,0.9995904157280361,0.9877567540220581,4883.0,0.9661016949152542,0.32386363636363635,0.4851063829787234,176.0,0.976082229689662,0.0,RF,worst
0.976082229689662,65,20,log2,0.8318241278266546,2,2,950,0.976082229689662,0.48068669527896996,0.9760095961615354,0.999795207864018,0.9877592311583206,4883.0,0.9824561403508771,0.3181818181818182,0.48068669527896996,176.0,0.976082229689662,0.0,RF,worst
0.976082229689662,61,50,log2,0.810346026509432,1,2,800,0.976082229689662,0.5217391304347826,0.9779205138498595,0.9977472865041982,0.9877344145970604,4883.0,0.8571428571428571,0.375,0.5217391304347826,176.0,0.976082229689662,0.0,RF,worst
0.976082229689662,41,15,log2,0.7927363780864153,1,4,700,0.976082229689662,0.48068669527896996,0.9760095961615354,0.999795207864018,0.9877592311583206,4883.0,0.9824561403508771,0.3181818181818182,0.48068669527896996,176.0,0.976082229689662,0.0,RF,worst
