Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
50,2,cyclic,raw,onehot,NN,2,128,64,,,0.009101579,500,0.049972274,0.001127041,0.621670302
51,2,cyclic,zone,onehot,NN,3,256,256,128,,0.001359951,300,0.389724835,0.000922495,0.623834537
52,2,cyclic,2dpos,onehot,NN,1,256,,,,0.004904061,500,0.1010077,2.29E-05,0.600008352
53,2,cyclic,polar,onehot,NN,2,64,256,,,0.007438443,500,0.176577616,0.000568554,0.622276664
54,2,cyclic,elliptic,onehot,NN,3,512,512,128,,0.006100479,200,0.381823537,0.00072896,0.619151936
55,2,1dpos,raw,onehot,NN,2,128,256,,,0.016490277,500,0.381979035,0.000614148,0.517772002
56,2,1dpos,zone,onehot,NN,1,64,,,,0.014028532,200,0.321769637,0.000387888,0.523277681
57,2,1dpos,2dpos,onehot,NN,1,128,,,,0.006607682,500,0.132312642,0.000172002,0.460844308
58,2,1dpos,polar,onehot,NN,2,256,512,,,0.00268872,500,0.487179737,0.000801256,0.521425037
59,2,1dpos,elliptic,onehot,NN,2,64,128,,,0.03333022,500,0.210838811,0.00055042,0.512811562
60,3,raw,raw,onehot,NN,2,256,128,,,0.009571079,500,0.276580868,0.00050793,0.62476944
61,3,raw,zone,onehot,NN,2,128,64,,,0.011453327,300,0.425229648,0.001260205,0.620208151
62,3,raw,2dpos,onehot,NN,1,256,,,,0.024454243,500,0.024874082,2.90E-05,0.598369288
63,3,raw,polar,onehot,NN,3,256,256,128,,0.003408249,500,0.481243925,0.000324727,0.623762266
64,3,raw,elliptic,onehot,NN,2,512,64,,,0.01178112,200,0.293648737,0.000126528,0.616053227
65,3,addDur,raw,onehot,NN,2,512,64,,,0.007409923,300,0.274785466,0.000522435,0.620827923
66,3,addDur,zone,onehot,NN,2,128,256,,,0.028284221,200,0.444265201,0.000849984,0.61776707
67,3,addDur,2dpos,onehot,NN,2,512,128,,,0.002611435,500,0.289587759,0.000313577,0.600217952
68,3,addDur,polar,onehot,NN,2,256,512,,,0.006639545,500,0.341107185,0.000919303,0.62476985
69,3,addDur,elliptic,onehot,NN,3,512,128,64,,0.006469949,300,0.456512181,0.000175232,0.619148244
70,3,cyclic,raw,onehot,NN,3,512,128,256,,0.005553619,500,0.351444991,0.001085547,0.622572643
71,3,cyclic,zone,onehot,NN,2,128,128,,,0.003492266,200,0.383474268,0.000522047,0.61918341
72,3,cyclic,2dpos,onehot,NN,1,256,,,,0.006404838,500,0.143351782,1.38E-05,0.600702004
73,3,cyclic,polar,onehot,NN,2,512,64,,,0.004971629,300,0.178414402,0.00057919,0.622838739
74,3,cyclic,elliptic,onehot,NN,2,512,128,,,0.008358309,500,0.411530663,0.000260214,0.621860956
75,3,1dpos,raw,onehot,NN,2,256,512,,,0.003443015,500,0.205084915,0.001485695,0.512806413
76,3,1dpos,zone,onehot,NN,2,64,256,,,0.004347395,500,0.418800445,0.001339229,0.524097394
77,3,1dpos,2dpos,onehot,NN,1,64,,,,0.021756933,500,0.264146076,0.000154481,0.463992674
78,3,1dpos,polar,onehot,NN,2,128,256,,,0.00778355,300,0.392833567,0.000818892,0.51674521
79,3,1dpos,elliptic,onehot,NN,2,128,128,,,0.004764479,500,0.306148512,0.000412291,0.512498652
80,4,raw,raw,onehot,NN,3,512,512,256,,0.002166913,500,0.497606771,0.00080418,0.625109618
81,4,raw,zone,onehot,NN,2,128,256,,,0.001691452,500,0.12888525,0.001204661,0.617921868
