Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
297,14,1dpos,2dpos,onehot,SV,rbf,1.318562436,balanced,,,2.372613676,0.392820123
298,14,1dpos,polar,onehot,SV,rbf,1.208932596,balanced,,,1.205578575,0.431328639
299,14,1dpos,elliptic,onehot,SV,poly,0.001320399,,3,0.719862334,0.94014513,0.475630381
300,15,raw,raw,onehot,SV,rbf,0.772655641,,,,0.605812207,0.607482219
301,15,raw,zone,onehot,SV,poly,0.134750237,,3,0.607189078,0.134769263,0.614023188
302,15,raw,2dpos,onehot,SV,rbf,3.759838525,,,,1.13575891,0.583230436
303,15,raw,polar,onehot,SV,poly,0.778154792,,3,-0.326514895,0.585165223,0.600984825
304,15,raw,elliptic,onehot,SV,rbf,2.930242168,,,,0.102177993,0.60979809
305,15,addDur,raw,onehot,SV,rbf,1.114612667,,,,0.591767664,0.605947763
306,15,addDur,zone,onehot,SV,rbf,1.015501648,,,,0.208028012,0.614021562
307,15,addDur,2dpos,onehot,SV,rbf,1.164729307,,,,1.074854713,0.583938158
308,15,addDur,polar,onehot,SV,poly,0.001311001,,3,0.906682037,0.721486612,0.601369694
309,15,addDur,elliptic,onehot,SV,rbf,0.54868779,balanced,,,0.254257754,0.554971122
310,15,cyclic,raw,onehot,SV,rbf,0.709594717,,,,0.426768288,0.607139077
311,15,cyclic,zone,onehot,SV,poly,0.441573634,,2,0.22840041,0.196371316,0.615644786
312,15,cyclic,2dpos,onehot,SV,poly,8.02336047,,3,0.167182193,0.512277613,0.584486303
313,15,cyclic,polar,onehot,SV,rbf,1.065157586,,,,0.582723917,0.61200376
314,15,cyclic,elliptic,onehot,SV,rbf,2.268327301,balanced,,,0.438989571,0.562951414
315,15,1dpos,raw,onehot,SV,poly,0.092041976,,2,-0.706903303,0.385854834,0.371987255
316,15,1dpos,zone,onehot,SV,linear,0.534258729,,,,,0.510768819
317,15,1dpos,2dpos,onehot,SV,rbf,4.314729218,balanced,,,2.133961662,0.379511795
318,15,1dpos,polar,onehot,SV,poly,0.229776764,,3,0.611735002,0.108614096,0.476493364
319,15,1dpos,elliptic,onehot,SV,rbf,2.602354888,,,,0.097882198,0.478321532
