Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
58,2,1dpos,polar,onehot,SV,rbf,0.925349188,,,,0.144389063,0.495003005
59,2,1dpos,elliptic,onehot,SV,poly,0.003470301,,3,0.602274265,0.279753189,0.48410612
60,3,raw,raw,onehot,SV,poly,1.419364715,,3,0.899688812,0.0535135,0.596227242
61,3,raw,zone,onehot,SV,rbf,0.158946151,balanced,,,0.018819728,0.582308179
62,3,raw,2dpos,onehot,SV,rbf,5.290985072,,,,0.224989271,0.589184764
63,3,raw,polar,onehot,SV,rbf,0.778247013,,,,0.479411702,0.611286706
64,3,raw,elliptic,onehot,SV,rbf,0.9353565,,,,0.478425961,0.610647462
65,3,addDur,raw,onehot,SV,rbf,1.829020031,,,,0.403388698,0.604271516
66,3,addDur,zone,onehot,SV,poly,0.011747128,,3,0.643507465,0.306155876,0.612415397
67,3,addDur,2dpos,onehot,SV,poly,7.650862794,,2,0.628721545,0.600922748,0.58893509
68,3,addDur,polar,onehot,SV,poly,0.225221334,,3,0.396397937,0.153114584,0.603127046
69,3,addDur,elliptic,onehot,SV,rbf,0.837363763,,,,0.279686509,0.611472737
70,3,cyclic,raw,onehot,SV,poly,0.734847443,balanced,3,0.428817321,0.012791725,0.561348312
71,3,cyclic,zone,onehot,SV,poly,0.008538946,balanced,3,0.553680358,0.122361777,0.584142829
72,3,cyclic,2dpos,onehot,SV,poly,0.286819615,balanced,3,0.395486796,0.013713471,0.563559332
73,3,cyclic,polar,onehot,SV,rbf,0.872150399,,,,0.275497755,0.609938221
74,3,cyclic,elliptic,onehot,SV,rbf,1.264514967,,,,0.405572473,0.612265137
75,3,1dpos,raw,onehot,SV,poly,0.023884707,,3,0.404171094,0.364332475,0.469839717
76,3,1dpos,zone,onehot,SV,poly,3.363696156,,2,0.227081911,0.052099411,0.521218674
77,3,1dpos,2dpos,onehot,SV,linear,0.006878014,balanced,,,,0.375501649
78,3,1dpos,polar,onehot,SV,rbf,0.866998746,,,,0.172378769,0.491273204
79,3,1dpos,elliptic,onehot,SV,rbf,0.847331334,,,,0.157896442,0.487233604
80,4,raw,raw,onehot,SV,rbf,1.009449884,,,,0.505318084,0.607072776
81,4,raw,zone,onehot,SV,poly,7.406742404,,3,0.201317769,0.028149147,0.616203785
82,4,raw,2dpos,onehot,SV,rbf,0.565873184,,,,0.619978845,0.584780356
83,4,raw,polar,onehot,SV,rbf,1.16419223,,,,0.192150104,0.612725751
84,4,raw,elliptic,onehot,SV,rbf,1.355997099,,,,0.369868614,0.609405609
85,4,addDur,raw,onehot,SV,rbf,1.195235813,,,,0.392659835,0.60794762
86,4,addDur,zone,onehot,SV,rbf,2.370615229,,,,0.049384438,0.614776185
87,4,addDur,2dpos,onehot,SV,rbf,2.760572197,,,,0.286633844,0.588447419
88,4,addDur,polar,onehot,SV,poly,0.080500832,balanced,3,0.812514944,0.024574745,0.546980757
89,4,addDur,elliptic,onehot,SV,rbf,0.948484678,,,,0.540595147,0.609236031
90,4,cyclic,raw,onehot,SV,poly,0.011351559,balanced,2,0.276965472,0.113912534,0.558140793
91,4,cyclic,zone,onehot,SV,poly,6.707012346,,2,0.859785892,0.042783026,0.618780265
92,4,cyclic,2dpos,onehot,SV,linear,0.003030722,balanced,,,,0.563190218
93,4,cyclic,polar,onehot,SV,rbf,1.049169109,,,,0.355940115,0.611865695
94,4,cyclic,elliptic,onehot,SV,rbf,1.555054828,,,,0.194029933,0.611013173
95,4,1dpos,raw,onehot,SV,poly,0.087497343,,3,0.908524318,0.179923471,0.468564822
96,4,1dpos,zone,onehot,SV,rbf,1.017751346,,,,0.086572358,0.520620217
97,4,1dpos,2dpos,onehot,SV,poly,3.850960139,,3,0.764527708,0.090470251,0.461254651
98,4,1dpos,polar,onehot,SV,poly,0.001065184,,3,0.983614757,0.518380496,0.482959961
99,4,1dpos,elliptic,onehot,SV,rbf,4.644858796,,,,0.076246951,0.480831282
100,5,raw,raw,onehot,SV,rbf,1.08925987,,,,0.550810359,0.608972586
101,5,raw,zone,onehot,SV,rbf,0.088030166,balanced,,,0.328274803,0.582990218
102,5,raw,2dpos,onehot,SV,rbf,0.011894311,balanced,,,0.19855113,0.563628733
103,5,raw,polar,onehot,SV,rbf,1.403567985,,,,0.077651685,0.605498658
104,5,raw,elliptic,onehot,SV,rbf,1.276124608,,,,0.551409069,0.611030968
105,5,addDur,raw,onehot,SV,linear,0.002195536,balanced,,,,0.537192365
106,5,addDur,zone,onehot,SV,rbf,1.875707438,,,,0.193928481,0.615743482
107,5,addDur,2dpos,onehot,SV,poly,0.012399965,balanced,2,0.646562445,0.062048122,0.550914571
108,5,addDur,polar,onehot,SV,rbf,2.69712823,,,,0.078073189,0.608405996
109,5,addDur,elliptic,onehot,SV,rbf,1.480793137,,,,0.185414598,0.603742811
110,5,cyclic,raw,onehot,SV,rbf,1.12179082,,,,0.531749977,0.608672791
111,5,cyclic,zone,onehot,SV,linear,0.002246271,balanced,,,,0.577629279
112,5,cyclic,2dpos,onehot,SV,rbf,1.302128778,balanced,,,0.001159267,0.562782865
113,5,cyclic,polar,onehot,SV,rbf,0.566432329,,,,0.336770277,0.613134009
114,5,cyclic,elliptic,onehot,SV,rbf,3.174063516,,,,0.140502726,0.607659876
115,5,1dpos,raw,onehot,SV,rbf,1.043840274,,,,0.148373991,0.4753067
116,5,1dpos,zone,onehot,SV,poly,0.039696912,,3,0.340177797,0.236124842,0.518995587
117,5,1dpos,2dpos,onehot,SV,poly,0.101549101,balanced,2,0.7234666,0.025965962,0.377426372
118,5,1dpos,polar,onehot,SV,rbf,1.811666884,,,,0.107093699,0.4938742
119,5,1dpos,elliptic,onehot,SV,rbf,0.832779828,,,,0.20143805,0.485791366
120,6,raw,raw,onehot,SV,rbf,0.074074898,balanced,,,0.151747659,0.552978577
121,6,raw,zone,onehot,SV,rbf,0.797317411,,,,0.16928251,0.617350479
122,6,raw,2dpos,onehot,SV,rbf,9.86875984,,,,0.319357167,0.586222862
123,6,raw,polar,onehot,SV,poly,0.116874019,,3,-0.148038586,0.25200097,0.601279011
124,6,raw,elliptic,onehot,SV,rbf,1.482806286,,,,0.365412099,0.612215925
125,6,addDur,raw,onehot,SV,rbf,1.00530538,,,,0.476089062,0.608162553
126,6,addDur,zone,onehot,SV,rbf,1.144069025,,,,0.219629523,0.618150138
127,6,addDur,2dpos,onehot,SV,poly,0.200143228,,3,-0.936523926,0.588440215,0.586588812
128,6,addDur,polar,onehot,SV,poly,0.439547117,,3,0.335115433,0.193592766,0.60224771
129,6,addDur,elliptic,onehot,SV,rbf,0.94334338,,,,0.221738574,0.609442538
130,6,cyclic,raw,onehot,SV,linear,0.013217851,balanced,,,,0.557579677
131,6,cyclic,zone,onehot,SV,rbf,1.2153275,,,,0.217606765,0.619222129
132,6,cyclic,2dpos,onehot,SV,poly,0.301213384,,3,-0.829551065,0.599350861,0.586889772
133,6,cyclic,polar,onehot,SV,rbf,0.810534801,,,,0.337451708,0.613970671
134,6,cyclic,elliptic,onehot,SV,rbf,1.580452447,,,,0.193223511,0.612092213
135,6,1dpos,raw,onehot,SV,poly,0.09202155,,3,0.160683864,0.135124896,0.469399642
136,6,1dpos,zone,onehot,SV,rbf,0.916170395,,,,0.094871836,0.520079075
137,6,1dpos,2dpos,onehot,SV,rbf,0.521043561,,,,0.420452216,0.405766414
138,6,1dpos,polar,onehot,SV,poly,0.00204909,,3,0.095131997,0.458317546,0.486109858
139,6,1dpos,elliptic,onehot,SV,rbf,1.505979173,,,,0.096178432,0.490253199
140,7,raw,raw,onehot,SV,rbf,0.801026416,,,,0.709756854,0.608443281
141,7,raw,zone,onehot,SV,poly,0.053293229,,2,0.102235418,0.469846682,0.6143542
142,7,raw,2dpos,onehot,SV,rbf,1.697802563,,,,0.395353556,0.58655223
143,7,raw,polar,onehot,SV,rbf,0.631890581,,,,0.391065502,0.613274926
144,7,raw,elliptic,onehot,SV,rbf,1.398315796,,,,0.405158703,0.612084036
145,7,addDur,raw,onehot,SV,linear,0.002601548,balanced,,,,0.536816154
146,7,addDur,zone,onehot,SV,linear,0.00352115,balanced,,,,0.574656168
147,7,addDur,2dpos,onehot,SV,poly,0.993071729,balanced,2,0.77910317,0.00252194,0.552653918
148,7,addDur,polar,onehot,SV,poly,4.75225635,,3,0.828161309,0.045499226,0.604683921
149,7,addDur,elliptic,onehot,SV,poly,2.096911821,,3,0.792239912,0.064335275,0.605332598
150,7,cyclic,raw,onehot,SV,poly,0.008069791,balanced,3,0.690286284,0.105362656,0.560041872
151,7,cyclic,zone,onehot,SV,linear,0.002243028,balanced,,,,0.577297629
152,7,cyclic,2dpos,onehot,SV,linear,0.003882617,balanced,,,,0.562077851
153,7,cyclic,polar,onehot,SV,rbf,1.029435644,,,,0.332266392,0.614617894
154,7,cyclic,elliptic,onehot,SV,rbf,1.559219373,,,,0.163689823,0.612268629
155,7,1dpos,raw,onehot,SV,rbf,1.406432477,,,,0.116626074,0.474701418
156,7,1dpos,zone,onehot,SV,poly,4.658091255,,2,0.778131281,0.038695928,0.518821174
157,7,1dpos,2dpos,onehot,SV,poly,8.159451219,,3,0.408181759,0.086121614,0.458464177
158,7,1dpos,polar,onehot,SV,poly,0.365839437,,3,0.720778187,0.144575569,0.475285257
159,7,1dpos,elliptic,onehot,SV,rbf,1.299321787,balanced,,,0.41876524,0.441467911
160,8,raw,raw,onehot,SV,rbf,0.814385998,,,,0.456449185,0.60477427
161,8,raw,zone,onehot,SV,rbf,1.091479553,,,,0.123827889,0.614904254
162,8,raw,2dpos,onehot,SV,rbf,0.008919709,balanced,,,0.376519311,0.533172286
163,8,raw,polar,onehot,SV,rbf,1.289110405,,,,0.556486109,0.60560791
164,8,raw,elliptic,onehot,SV,rbf,1.36816397,,,,0.719282605,0.60377954
165,8,addDur,raw,onehot,SV,rbf,0.985378556,,,,0.378136373,0.600878346
166,8,addDur,zone,onehot,SV,rbf,0.230074879,balanced,,,0.014880158,0.580127967
167,8,addDur,2dpos,onehot,SV,poly,5.959197039,,2,0.490654203,0.597560926,0.5833164
