Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
269,13,addDur,elliptic,onehot,XG,13,0.02026017,172,0.749665802,0.661689208,0.64398357
270,13,cyclic,raw,onehot,XG,11,0.032251717,183,0.873508976,0.672783188,0.650752451
271,13,cyclic,zone,onehot,XG,4,0.041653543,281,0.858115045,0.919302988,0.617134136
272,13,cyclic,2dpos,onehot,XG,13,0.032303951,119,0.744392373,0.61013871,0.650941514
273,13,cyclic,polar,onehot,XG,9,0.052082205,170,0.765953501,0.799457029,0.643055147
274,13,cyclic,elliptic,onehot,XG,10,0.054008085,240,0.775734723,0.799945879,0.643961318
275,13,1dpos,raw,onehot,XG,9,0.066202309,207,0.886155251,0.804984439,0.57041573
276,13,1dpos,zone,onehot,XG,9,0.124875822,269,0.869013477,0.674311788,0.547356459
277,13,1dpos,2dpos,onehot,XG,11,0.054691419,218,0.918089926,0.88049207,0.571243118
278,13,1dpos,polar,onehot,XG,9,0.046204923,231,0.893208054,0.787106984,0.567022205
279,13,1dpos,elliptic,onehot,XG,9,0.15759128,189,0.914174716,0.860094006,0.566020633
280,14,raw,raw,onehot,XG,11,0.038486719,226,0.755605085,0.820764783,0.652288387
281,14,raw,zone,onehot,XG,4,0.119019474,168,0.837003137,0.985172576,0.617306535
282,14,raw,2dpos,onehot,XG,10,0.070164333,150,0.874596476,0.680083926,0.653939684
283,14,raw,polar,onehot,XG,14,0.028810619,182,0.990983208,0.608896094,0.649090166
284,14,raw,elliptic,onehot,XG,10,0.038256442,216,0.852936946,0.779562304,0.64592124
285,14,addDur,raw,onehot,XG,12,0.026436306,223,0.863405297,0.695402048,0.651570196
286,14,addDur,zone,onehot,XG,5,0.042507554,154,0.668424138,0.615551566,0.617895511
287,14,addDur,2dpos,onehot,XG,11,0.034191457,157,0.683630529,0.702025612,0.651537047
