Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
305,15,addDur,raw,catboost,CB,800,0.031747881,8,0.473850675,122,,0.641029805
306,15,addDur,zone,catboost,CB,400,0.010402013,9,2.92005945,45,,0.622641865
307,15,addDur,2dpos,catboost,CB,700,0.099813209,6,0.213044716,109,,0.644636364
308,15,addDur,polar,catboost,CB,800,0.074813417,6,3.461370393,83,,0.636597148
309,15,addDur,elliptic,catboost,CB,600,0.152099515,6,1.304098743,96,,0.632205511
310,15,cyclic,raw,catboost,CB,800,0.08716791,5,3.978459978,94,,0.639770762
311,15,cyclic,zone,catboost,CB,500,0.011730847,9,3.689863012,84,,0.621238078
312,15,cyclic,2dpos,catboost,CB,700,0.033262538,7,0.273095958,110,,0.64049648
313,15,cyclic,polar,catboost,CB,400,0.173714989,5,4.461909835,111,,0.634784694
314,15,cyclic,elliptic,catboost,CB,800,0.044183881,6,0.113886013,69,,0.634271111
315,15,1dpos,raw,catboost,CB,700,0.079855078,4,1.026065258,105,,0.548595239
316,15,1dpos,zone,catboost,CB,400,0.039707296,8,0.246449275,123,,0.523346542
317,15,1dpos,2dpos,catboost,CB,700,0.039312487,9,2.444879509,55,,0.5495043
318,15,1dpos,polar,catboost,CB,800,0.110844311,5,0.3249798,111,,0.545339804
319,15,1dpos,elliptic,catboost,CB,400,0.294636219,3,6.060292397,124,,0.540329335
