sid,aid,routes,month,dow,dep,arr,nTrans,tway,OriLat,OriLon,DesLat,DesLon,OriZone,DesZone,oppo,typeD,nwDist,eucDist,caruse
136,,121,4,Monday,668.5,684.5,0,0,44.984392,-93.181393,44.978001,-93.229361,Univ of Minnesota,Univ of Minnesota,1,Home,2.3865976,2.386591667,0
137,,122,4,Monday,670,678,0,0,44.976759,-93.229845,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Ed,0.735055592,0.735053765,0
138,,121,4,Monday,675,696,0,0,44.972216,-93.244004,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,0,Ed,3.164930274,3.164922407,0
139,,122,4,Monday,665.5,674.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
140,,122,4,Monday,663,672,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,1,Home,0.741646512,0.741644668,0
142,,122,4,Monday,694.5,703.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
143,,122,4,Monday,668,675,0,0,44.980616,-93.239529,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Ed,0.718773479,0.718771692,0
144,,122,4,Monday,718,730,0,0,44.980616,-93.239529,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.727050468,0.727048661,0
145,,122,4,Monday,729.5,735.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,0,Ed,0.402700565,0.402699564,0
146,,122,4,Monday,744,753,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
147,,121,4,Monday,723.5,742.5,0,0,44.984568,-93.186332,44.978228,-93.236047,Univ of Minnesota,Univ of Minnesota,1,W,2.46996532,2.46995918,0
148,,121,4,Monday,726.5,741.5,0,0,44.984392,-93.181393,44.976316,-93.221826,Univ of Minnesota,Univ of Minnesota,1,Ed,2.054206631,2.054201525,0
149,,122,4,Monday,734.5,742.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
150,,122,4,Monday,725.5,733.5,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
152,,122_121,4,Monday,727.72,753.28,1,0,44.980616,-93.239529,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,1,Ed,3.024559835,2.843036412,0
153,,122,4,Monday,753,760,0,0,44.976759,-93.229845,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,1,W,0.349476966,0.349476097,0
154,,122,4,Monday,729.5,739.5,0,0,44.975235,-93.226948,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,1,Ed,0.956007028,0.956004651,0
155,,122,4,Monday,724,734,0,0,44.970998,-93.245561,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
156,,122,4,Monday,733.5,742.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
