globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom
129,1,1dpos,2dpos,WTE,SV,16,2500
130,1,1dpos,2dpos,WTE,SV,16,5000
131,1,1dpos,2dpos,WTE,SV,16,10000
132,1,1dpos,2dpos,WTE,SV,24,2500
133,1,1dpos,2dpos,WTE,SV,24,5000
134,1,1dpos,2dpos,WTE,SV,24,10000
135,1,1dpos,2dpos,onehot,SV,8,2500
136,1,1dpos,2dpos,onehot,SV,8,5000
137,1,1dpos,2dpos,onehot,SV,8,10000
138,1,1dpos,2dpos,onehot,SV,16,2500
139,1,1dpos,2dpos,onehot,SV,16,5000
140,1,1dpos,2dpos,onehot,SV,16,10000
141,1,1dpos,2dpos,onehot,SV,24,2500
142,1,1dpos,2dpos,onehot,SV,24,5000
143,1,1dpos,2dpos,onehot,SV,24,10000
144,1,1dpos,elliptic,5FTE,SV,,
145,1,1dpos,elliptic,WTE,SV,,
146,1,1dpos,elliptic,onehot,SV,,
147,1,1dpos,polar,5FTE,SV,,
148,1,1dpos,polar,WTE,SV,,
149,1,1dpos,polar,onehot,SV,,
150,1,1dpos,raw,5FTE,SV,,
151,1,1dpos,raw,WTE,SV,,
152,1,1dpos,raw,onehot,SV,,
153,1,1dpos,zone,5FTE,SV,,
154,1,1dpos,zone,WTE,SV,,
155,1,1dpos,zone,onehot,SV,,
156,1,cyclic,2dpos,5FTE,SV,8,2500
157,1,cyclic,2dpos,5FTE,SV,8,5000
158,1,cyclic,2dpos,5FTE,SV,8,10000
159,1,cyclic,2dpos,5FTE,SV,16,2500
160,1,cyclic,2dpos,5FTE,SV,16,5000
161,1,cyclic,2dpos,5FTE,SV,16,10000
162,1,cyclic,2dpos,5FTE,SV,24,2500
163,1,cyclic,2dpos,5FTE,SV,24,5000
164,1,cyclic,2dpos,5FTE,SV,24,10000
165,1,cyclic,2dpos,WTE,SV,8,2500
166,1,cyclic,2dpos,WTE,SV,8,5000
167,1,cyclic,2dpos,WTE,SV,8,10000
168,1,cyclic,2dpos,WTE,SV,16,2500
169,1,cyclic,2dpos,WTE,SV,16,5000
170,1,cyclic,2dpos,WTE,SV,16,10000
171,1,cyclic,2dpos,WTE,SV,24,2500
172,1,cyclic,2dpos,WTE,SV,24,5000
173,1,cyclic,2dpos,WTE,SV,24,10000
174,1,cyclic,2dpos,onehot,SV,8,2500
175,1,cyclic,2dpos,onehot,SV,8,5000
176,1,cyclic,2dpos,onehot,SV,8,10000
177,1,cyclic,2dpos,onehot,SV,16,2500
178,1,cyclic,2dpos,onehot,SV,16,5000
179,1,cyclic,2dpos,onehot,SV,16,10000
180,1,cyclic,2dpos,onehot,SV,24,2500
181,1,cyclic,2dpos,onehot,SV,24,5000
182,1,cyclic,2dpos,onehot,SV,24,10000
183,1,cyclic,elliptic,5FTE,SV,,
184,1,cyclic,elliptic,WTE,SV,,
185,1,cyclic,elliptic,onehot,SV,,
186,1,cyclic,polar,5FTE,SV,,
187,1,cyclic,polar,WTE,SV,,
188,1,cyclic,polar,onehot,SV,,
189,1,cyclic,raw,5FTE,SV,,
190,1,cyclic,raw,WTE,SV,,
191,1,cyclic,raw,onehot,SV,,
192,1,cyclic,zone,5FTE,SV,,
193,1,cyclic,zone,WTE,SV,,
194,1,cyclic,zone,onehot,SV,,
195,1,raw,2dpos,5FTE,SV,8,2500
196,1,raw,2dpos,5FTE,SV,8,5000
197,1,raw,2dpos,5FTE,SV,8,10000
198,1,raw,2dpos,5FTE,SV,16,2500
199,1,raw,2dpos,5FTE,SV,16,5000
200,1,raw,2dpos,5FTE,SV,16,10000
201,1,raw,2dpos,5FTE,SV,24,2500
202,1,raw,2dpos,5FTE,SV,24,5000
203,1,raw,2dpos,5FTE,SV,24,10000
204,1,raw,2dpos,WTE,SV,8,2500
205,1,raw,2dpos,WTE,SV,8,5000
206,1,raw,2dpos,WTE,SV,8,10000
207,1,raw,2dpos,WTE,SV,16,2500
208,1,raw,2dpos,WTE,SV,16,5000
209,1,raw,2dpos,WTE,SV,16,10000
210,1,raw,2dpos,WTE,SV,24,2500
211,1,raw,2dpos,WTE,SV,24,5000
212,1,raw,2dpos,WTE,SV,24,10000
213,1,raw,2dpos,onehot,SV,8,2500
214,1,raw,2dpos,onehot,SV,8,5000
215,1,raw,2dpos,onehot,SV,8,10000
216,1,raw,2dpos,onehot,SV,16,2500
217,1,raw,2dpos,onehot,SV,16,5000
218,1,raw,2dpos,onehot,SV,16,10000
219,1,raw,2dpos,onehot,SV,24,2500
220,1,raw,2dpos,onehot,SV,24,5000
221,1,raw,2dpos,onehot,SV,24,10000
222,1,raw,elliptic,5FTE,SV,,
223,1,raw,elliptic,WTE,SV,,
224,1,raw,elliptic,onehot,SV,,
225,1,raw,polar,5FTE,SV,,
226,1,raw,polar,WTE,SV,,
227,1,raw,polar,onehot,SV,,
228,1,raw,raw,5FTE,SV,,
229,1,raw,raw,WTE,SV,,
230,1,raw,raw,onehot,SV,,
231,1,raw,zone,5FTE,SV,,
232,1,raw,zone,WTE,SV,,
233,1,raw,zone,onehot,SV,,
234,0,1dpos,2dpos,5FTE,RF,8,2500
235,0,1dpos,2dpos,5FTE,RF,8,5000
236,0,1dpos,2dpos,5FTE,RF,8,10000
237,0,1dpos,2dpos,5FTE,RF,16,2500
238,0,1dpos,2dpos,5FTE,RF,16,5000
239,0,1dpos,2dpos,5FTE,RF,16,10000
240,0,1dpos,2dpos,5FTE,RF,24,2500
241,0,1dpos,2dpos,5FTE,RF,24,5000
242,0,1dpos,2dpos,5FTE,RF,24,10000
243,0,1dpos,2dpos,WTE,RF,8,2500
244,0,1dpos,2dpos,WTE,RF,8,5000
245,0,1dpos,2dpos,WTE,RF,8,10000
246,0,1dpos,2dpos,WTE,RF,16,2500
247,0,1dpos,2dpos,WTE,RF,16,5000
248,0,1dpos,2dpos,WTE,RF,16,10000
249,0,1dpos,2dpos,WTE,RF,24,2500
250,0,1dpos,2dpos,WTE,RF,24,5000
251,0,1dpos,2dpos,WTE,RF,24,10000
252,0,1dpos,2dpos,onehot,RF,8,2500
253,0,1dpos,2dpos,onehot,RF,8,5000
254,0,1dpos,2dpos,onehot,RF,8,10000
255,0,1dpos,2dpos,onehot,RF,16,2500
256,0,1dpos,2dpos,onehot,RF,16,5000
257,0,1dpos,2dpos,onehot,RF,16,10000
258,0,1dpos,2dpos,onehot,RF,24,2500
259,0,1dpos,2dpos,onehot,RF,24,5000
260,0,1dpos,2dpos,onehot,RF,24,10000
261,0,1dpos,elliptic,5FTE,RF,,
262,0,1dpos,elliptic,WTE,RF,,
263,0,1dpos,elliptic,onehot,RF,,
264,0,1dpos,polar,5FTE,RF,,
265,0,1dpos,polar,WTE,RF,,
266,0,1dpos,polar,onehot,RF,,
267,0,1dpos,raw,5FTE,RF,,
268,0,1dpos,raw,WTE,RF,,
269,0,1dpos,raw,onehot,RF,,
270,0,1dpos,zone,5FTE,RF,,
271,0,1dpos,zone,WTE,RF,,
272,0,1dpos,zone,onehot,RF,,
273,0,cyclic,2dpos,5FTE,RF,8,2500
274,0,cyclic,2dpos,5FTE,RF,8,5000
275,0,cyclic,2dpos,5FTE,RF,8,10000
276,0,cyclic,2dpos,5FTE,RF,16,2500
277,0,cyclic,2dpos,5FTE,RF,16,5000
278,0,cyclic,2dpos,5FTE,RF,16,10000
279,0,cyclic,2dpos,5FTE,RF,24,2500
280,0,cyclic,2dpos,5FTE,RF,24,5000
281,0,cyclic,2dpos,5FTE,RF,24,10000
282,0,cyclic,2dpos,WTE,RF,8,2500
283,0,cyclic,2dpos,WTE,RF,8,5000
284,0,cyclic,2dpos,WTE,RF,8,10000
285,0,cyclic,2dpos,WTE,RF,16,2500
286,0,cyclic,2dpos,WTE,RF,16,5000
287,0,cyclic,2dpos,WTE,RF,16,10000
288,0,cyclic,2dpos,WTE,RF,24,2500
