value,duration,params_auto_class_weights,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_ACC,user_attrs_WF1,Work_precision,Work_recall,Work_f1-score,Work_support,Others_precision,Others_recall,Others_f1-score,Others_support,Home_precision,Home_recall,Home_f1-score,Home_support,Shop_precision,Shop_recall,Shop_f1-score,Shop_support,accuracy,zeroPreds,adj_accuracy,model,option
0.6517098240759043,14,Balanced,7,600,2.529709705793572,0.1864052869181436,4.643665005753058,0.5795611780984384,0.6455598455598456,0.6495726495726496,0.6415963161933999,0.6455598455598456,1303.0,0.4829136690647482,0.42450592885375493,0.4518300378628523,1265.0,0.6691992986557569,0.7125077784691972,0.6901748040988547,1607.0,0.4362486828240253,0.4683257918552036,0.45171849427168576,884.0,0.5795611780984384,0.0,0.6517098240759043,CB,best
0.6515121565526784,19,Balanced,8,700,2.6310253717189807,0.08295726952210046,3.3548137740464923,0.58094485076102,0.6488956587966489,0.6439909297052154,0.6538756715272448,0.6488956587966489,1303.0,0.47722960151802657,0.3976284584980237,0.4338076757222941,1265.0,0.6634669678147939,0.731176104542626,0.6956779159265838,1607.0,0.4489571899012075,0.4626696832579186,0.45571030640668525,884.0,0.58094485076102,0.0,0.6515121565526784,CB,best
0.6505238189365488,22,Balanced,8,700,1.9290665587088998,0.12979630168434023,1.8596245809846637,0.5837121960861831,0.6511981742107266,0.6455505279034691,0.656945510360706,0.6511981742107266,1303.0,0.49186602870813395,0.40632411067193674,0.44502164502164504,1265.0,0.6548082267926626,0.7330429371499689,0.6917204932472109,1607.0,0.45556805399325084,0.4581447963800905,0.45685279187817257,884.0,0.5837121960861831,0.0,0.6505238189365488,CB,best
0.6503261514133228,25,Balanced,9,600,2.612981340568961,0.07117046472380552,4.626179098022933,0.5852935362719905,0.6477400074710497,0.631004366812227,0.6653875671527245,0.6477400074710497,1303.0,0.5058949624866024,0.3731225296442688,0.4294813466787989,1265.0,0.657392253136934,0.7498444306160548,0.7005813953488372,1607.0,0.45375408052230687,0.47171945701357465,0.46256239600665555,884.0,0.5852935362719905,0.0,0.6503261514133228,CB,best
0.6503261514133228,12,Balanced,7,600,2.2885018466102722,0.21771537992069023,1.6026490406198584,0.5781775054358569,0.6442234123947972,0.6422578184591915,0.6462010744435918,0.6442234123947972,1303.0,0.4749772520473157,0.4126482213438735,0.4416243654822335,1265.0,0.666082895504962,0.7100186683260734,0.6873493975903614,1607.0,0.44871794871794873,0.4751131221719457,0.46153846153846156,884.0,0.5781775054358569,0.0,0.6503261514133228,CB,best
0.649733148843645,16,Balanced,8,500,1.4778552717265991,0.13993557078953456,1.9271984953429675,0.5799565131448903,0.6458966565349544,0.6395786305492852,0.6523407521105142,0.6458966565349544,1303.0,0.48747591522157996,0.4,0.4394268345636127,1265.0,0.6604834176503653,0.731176104542626,0.6940342587123449,1607.0,0.4414019715224535,0.45588235294117646,0.4485253199777407,884.0,0.5799565131448903,0.0,0.649733148843645,CB,best
0.649733148843645,28,Balanced,9,600,2.641331879192633,0.07778214098935617,4.827022037693621,0.5827238584700534,0.6540356195528609,0.6459580838323353,0.6623177283192633,0.6540356195528609,1303.0,0.4911937377690802,0.3968379446640316,0.4390030607783122,1265.0,0.6512141280353201,0.7342874922215308,0.6902603100321731,1607.0,0.453318335208099,0.45588235294117646,0.45459672870840384,884.0,0.5827238584700534,0.0,0.649733148843645,CB,best
0.6489424787507413,37,Balanced,10,500,1.6051435337160027,0.11216465369083937,4.969445861486012,0.5813401858074718,0.6511278195488722,0.6381724392041267,0.6646201074443592,0.6511278195488722,1303.0,0.4840887174541948,0.3968379446640316,0.43614248479582973,1265.0,0.6470902295782167,0.7542003733665215,0.696551724137931,1607.0,0.45580808080808083,0.4083710407239819,0.4307875894988067,884.0,0.5813401858074718,0.0,0.6489424787507413,CB,best
0.6489424787507413,25,Balanced,9,600,2.4813904539491665,0.08949371089560995,4.886642597043167,0.5829215259932793,0.648015122873346,0.6385991058122206,0.6577129700690714,0.648015122873346,1303.0,0.49514563106796117,0.4031620553359684,0.4444444444444444,1265.0,0.6559556786703601,0.7367766023646546,0.694021101992966,1607.0,0.4512471655328798,0.4502262443438914,0.4507361268403171,884.0,0.5829215259932793,0.0,0.6489424787507413,CB,best
0.6487448112275154,50,Balanced,9,800,1.3443450014762788,0.10037992282307259,4.976189474710743,0.5825261909468274,0.6489520958083832,0.633308984660336,0.6653875671527245,0.6489520958083832,1303.0,0.492156862745098,0.3968379446640316,0.43938730853391683,1265.0,0.6481283422459893,0.7542003733665215,0.6971527178602244,1607.0,0.4575,0.41402714932126694,0.4346793349168646,884.0,0.5825261909468274,0.0,0.6487448112275154,CB,best
