value,duration,params_C,params_class_weight,params_penalty,user_attrs_ACC,user_attrs_WF1,Work_precision,Work_recall,Work_f1-score,Work_support,Others_precision,Others_recall,Others_f1-score,Others_support,Home_precision,Home_recall,Home_f1-score,Home_support,Shop_precision,Shop_recall,Shop_f1-score,Shop_support,accuracy,zeroPreds,adj_accuracy,model,option
0.5932002372010279,0,214.4836294136915,,l2,0.5313303024313105,0.6424581005586593,0.5893657911595132,0.7060629316960859,0.6424581005586593,1303.0,0.391353811149033,0.2719367588932806,0.3208955223880597,1265.0,0.589041095890411,0.7492221530802738,0.6595453300465626,1607.0,0.3826086956521739,0.248868778280543,0.3015764222069911,884.0,0.5313303024313105,0.0,0.5932002372010279,LR,best
0.5932002372010279,0,94.90598913764056,,l2,0.5311326349080846,0.6424581005586593,0.5893657911595132,0.7060629316960859,0.6424581005586593,1303.0,0.3931818181818182,0.2735177865612648,0.3226107226107226,1265.0,0.5888399412628488,0.7485998755444928,0.6591780821917809,1607.0,0.3791304347826087,0.24660633484162897,0.2988348183687457,884.0,0.5311326349080846,0.0,0.5932002372010279,LR,best
0.5932002372010279,1,77.42458012316592,,l2,0.5305396323384068,0.6429070580013976,0.5901218729955099,0.7060629316960859,0.6429070580013976,1303.0,0.3917995444191344,0.2719367588932806,0.3210452636490901,1265.0,0.5879765395894428,0.7485998755444928,0.6586367369285518,1607.0,0.3767361111111111,0.24547511312217193,0.29726027397260274,884.0,0.5305396323384068,0.0,0.5932002372010279,LR,best
0.5932002372010279,1,6339.271566009047,,l2,0.5311326349080846,0.6427076064200977,0.5892514395393474,0.7068303914044513,0.6427076064200977,1303.0,0.39110604332953247,0.2711462450592885,0.3202614379084967,1265.0,0.5888399412628488,0.7485998755444928,0.6591780821917809,1607.0,0.3819444444444444,0.248868778280543,0.3013698630136986,884.0,0.5311326349080846,0.0,0.5932002372010279,LR,best
0.593002569677802,1,9767.409537742407,,l2,0.5309349673848587,0.6431564245810056,0.590006406149904,0.7068303914044513,0.6431564245810056,1303.0,0.3933865450399088,0.2727272727272727,0.32212885154061627,1265.0,0.5879765395894428,0.7485998755444928,0.6586367369285518,1607.0,0.3773913043478261,0.24547511312217193,0.297464016449623,884.0,0.5309349673848587,0.0,0.593002569677802,LR,best
0.593002569677802,1,2145.129012236615,,l2,0.5309349673848587,0.6419839329374781,0.5891025641025641,0.7052954719877207,0.6419839329374781,1303.0,0.39184597961494905,0.2735177865612648,0.3221601489757914,1265.0,0.5887530562347189,0.7492221530802738,0.6593647316538883,1607.0,0.38003502626970226,0.24547511312217193,0.29828178694158075,884.0,0.5309349673848587,0.0,0.593002569677802,LR,best
0.593002569677802,1,5901.273775168756,,l2,0.5315279699545364,0.6431564245810056,0.590006406149904,0.7068303914044513,0.6431564245810056,1303.0,0.39431818181818185,0.27430830039525694,0.32354312354312353,1265.0,0.5876893014167074,0.7485998755444928,0.6584564860426929,1607.0,0.38178633975481613,0.24660633484162897,0.29965635738831614,884.0,0.5315279699545364,0.0,0.593002569677802,LR,best
0.593002569677802,1,967.53949166429,,l2,0.5311326349080846,0.6424581005586593,0.5893657911595132,0.7060629316960859,0.6424581005586593,1303.0,0.39322033898305087,0.27509881422924903,0.32372093023255816,1265.0,0.5885518590998043,0.7485998755444928,0.6589975349219392,1607.0,0.37961335676625657,0.24434389140271492,0.2973158981417756,884.0,0.5311326349080846,0.0,0.593002569677802,LR,best
0.593002569677802,1,4982.16684709991,,l2,0.5305396323384068,0.6417597765363129,0.5887251761691223,0.7052954719877207,0.6417597765363129,1303.0,0.3900226757369615,0.2719367588932806,0.32044713553795995,1265.0,0.5889269965703087,0.7479775980087119,0.6589912280701754,1607.0,0.3808695652173913,0.24773755656108598,0.3002056202878684,884.0,0.5305396323384068,0.0,0.593002569677802,LR,best
0.592804902154576,1,1768.7496637443135,,l2,0.5309349673848587,0.6424581005586593,0.5893657911595132,0.7060629316960859,0.6424581005586593,1303.0,0.3934240362811791,0.27430830039525694,0.3232417326502096,1265.0,0.5880626223091977,0.7479775980087119,0.6584497397973158,1607.0,0.3793706293706294,0.24547511312217193,0.2980769230769231,884.0,0.5309349673848587,0.0,0.592804902154576,LR,best
0.592804902154576,0,126.72649541326402,,l2,0.5313303024313105,0.6422338568935427,0.58898847631242,0.7060629316960859,0.6422338568935427,1303.0,0.3915525114155251,0.2711462450592885,0.32041102288650164,1265.0,0.5887530562347189,0.7492221530802738,0.6593647316538883,1607.0,0.3836805555555556,0.25,0.30273972602739724,884.0,0.5313303024313105,0.0,0.592804902154576,LR,best
0.592804902154576,1,9350.595956998235,,l2,0.5307372998616328,0.6419839329374781,0.5891025641025641,0.7052954719877207,0.6419839329374781,1303.0,0.3914027149321267,0.2735177865612648,0.3220102373196836,1265.0,0.5882640586797065,0.7485998755444928,0.6588170865279299,1607.0,0.38070175438596493,0.24547511312217193,0.2984869325997249,884.0,0.5307372998616328,0.0,0.592804902154576,LR,best
0.592804902154576,0,116.67456227244283,,l2,0.5309349673848587,0.6422082459818309,0.5894804361770366,0.7052954719877207,0.6422082459818309,1303.0,0.39160045402951194,0.2727272727272727,0.32152842497670087,1265.0,0.5885518590998043,0.7485998755444928,0.6589975349219392,1607.0,0.3808695652173913,0.24773755656108598,0.3002056202878684,884.0,0.5309349673848587,0.0,0.592804902154576,LR,best
0.5926072346313501,1,529.9059400580497,,l2,0.5309349673848587,0.6424834321590512,0.5888746803069054,0.7068303914044513,0.6424834321590512,1303.0,0.39362912400455063,0.2735177865612648,0.32276119402985076,1265.0,0.5880626223091977,0.7479775980087119,0.6584497397973158,1607.0,0.3793706293706294,0.24547511312217193,0.2980769230769231,884.0,0.5309349673848587,0.0,0.5926072346313501,LR,best
0.5926072346313501,0,393.638952684828,,l2,0.5313303024313105,0.6420097697138869,0.5886116442738324,0.7060629316960859,0.6420097697138869,1303.0,0.3933865450399088,0.2727272727272727,0.32212885154061627,1265.0,0.5888399412628488,0.7485998755444928,0.6591780821917809,1607.0,0.3819444444444444,0.248868778280543,0.3013698630136986,884.0,0.5313303024313105,0.0,0.5926072346313501,LR,best
