Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
25,805,0,1dpos,2dpos,onehot,NN,24,5000,1,256,,,0.008123345,300,0.484542521,0.000899913,0.606906503,0.011214776,0.620676023,0.000419316,0.582763392,0.005989685,3.08,8.8,0.621071358,0.629239119,0.557185214
26,806,0,1dpos,2dpos,onehot,NN,24,10000,3,256,512,128,0.00133696,400,0.377702446,0.000112713,0.604178691,0.009907487,0.617434276,0.002487,0.584937735,0.006799303,4.26,9.4,0.621862028,0.609281168,0.545167029
27,807,0,1dpos,elliptic,5FTE,NN,,,2,512,128,,0.004450127,300,0.438578939,0.000335263,0.583526389,0.016087925,0.598181459,0.002056122,0.548645977,0.031196607,3.44,9.2,0.601502273,0.643343743,0.541016011
28,808,0,1dpos,elliptic,WTE,NN,,,3,128,256,512,0.005936551,200,0.409942617,6.70E-05,0.586262107,0.009744374,0.600158134,0.000941777,0.565605851,0.006906493,2.76,6.8,0.601106938,0.641342026,0.539711405
29,809,0,1dpos,elliptic,onehot,NN,,,2,128,256,,0.009605816,500,0.257988109,0.000433484,0.58467286,0.019713027,0.602569678,0.001621597,0.539830006,0.032604358,3.68,7.2,0.604467286,0.641669653,0.541371813
30,810,0,1dpos,polar,5FTE,NN,,,2,128,512,,0.002407967,400,0.353846612,0.000404977,0.591132635,0.01149342,0.605811425,0.001336268,0.569401067,0.003300515,4.48,9.2,0.607629966,0.641167187,0.548645977
31,811,0,1dpos,polar,WTE,NN,,,3,128,512,512,0.005278885,300,0.498188711,9.42E-05,0.585819332,0.015344795,0.605653291,0.004505345,0.552836529,0.013725729,4.92,10.4,0.613164657,0.645452107,0.545325163
32,812,0,1dpos,polar,onehot,NN,,,2,256,512,,0.003766589,500,0.326995051,0.000945634,0.59002965,0.012147946,0.603004546,0.001560197,0.563708243,0.008633569,5.02,10.4,0.605455624,0.642391372,0.544455426
33,813,0,1dpos,raw,5FTE,NN,,,3,128,128,256,0.013023541,500,0.415739946,0.000194109,0.571199842,0.011442525,0.58533307,0.001229676,0.546787903,0.006481566,4.84,10.8,0.586874876,0.636607345,0.529314094
34,814,0,1dpos,raw,WTE,NN,,,3,128,256,256,0.003914589,500,0.437225755,7.02E-05,0.574449496,0.014996754,0.590907294,0.000822164,0.543071753,0.012353509,5.28,9.8,0.591816565,0.636854208,0.531014034
35,815,0,1dpos,raw,onehot,NN,,,2,128,512,,0.003549986,400,0.424679128,0.000570803,0.574038347,0.010104817,0.586637675,0.002185098,0.553903934,0.013350535,3.64,7,0.589049219,0.642828766,0.534532516
36,816,0,1dpos,zone,5FTE,NN,,,3,256,256,512,0.0020985,500,0.494869573,7.56E-05,0.592793042,0.010671312,0.604941688,0.001293175,0.569519668,0.009529543,6,11.6,0.606641629,0.636944225,0.540462542
37,817,0,1dpos,zone,WTE,NN,,,3,512,256,512,0.004067074,300,0.465195544,0.000662172,0.59303815,0.008697251,0.602095276,0.001036577,0.574066021,0.014392721,4.34,9.8,0.603874283,0.639510527,0.542913619
38,818,0,1dpos,zone,onehot,NN,,,2,128,256,,0.007092682,400,0.151240295,0.000888065,0.597153588,0.010291116,0.610357778,0.00193371,0.575449694,0.003323519,3.38,7.6,0.61375766,0.632536622,0.542518284
39,819,0,cyclic,2dpos,5FTE,NN,8,2500,2,256,512,,0.002819989,300,0.409704557,1.29E-05,0.605214469,0.010068918,0.619331884,0.00352048,0.584502866,0.008344286,4.52,9,0.625420043,0.633843629,0.551057521
40,820,0,cyclic,2dpos,5FTE,NN,8,5000,2,512,512,,0.00205947,200,0.417593874,6.21E-05,0.604277525,0.013750415,0.617631943,0.001989482,0.574263688,0.024433897,4.94,12.6,0.621071358,0.637557428,0.553429532
41,821,0,cyclic,2dpos,5FTE,NN,8,10000,3,256,256,256,0.001476803,400,0.403377486,0.000682952,0.604558213,0.011781342,0.621743428,0.002117904,0.585728405,0.003085767,5.58,10,0.624234038,0.637106066,0.552006325
42,822,0,cyclic,2dpos,5FTE,NN,16,2500,1,512,,,0.001055734,400,0.499162991,0.00036036,0.615109705,0.011495442,0.628266456,0.003481979,0.590156157,0.007684412,3.68,10,0.633326744,0.63796372,0.565052382
43,823,0,cyclic,2dpos,5FTE,NN,16,5000,1,512,,,0.005903323,300,0.485289943,0.00080264,0.614908085,0.010311373,0.627910654,0.001300706,0.591895632,0.007543289,3.34,9.6,0.629768729,0.636120452,0.561178098
44,824,0,cyclic,2dpos,5FTE,NN,16,10000,2,512,256,,0.001469074,300,0.420418417,1.02E-05,0.612959083,0.010036767,0.625657245,0.00120561,0.591500297,0.006790966,4.02,11.4,0.627594386,0.62944692,0.555682941
45,825,0,cyclic,2dpos,5FTE,NN,24,2500,1,512,,,0.002935141,200,0.447253033,0.000338991,0.614927851,0.012395956,0.628266456,0.000798048,0.586360941,0.016916807,3.14,9,0.629373394,0.634716436,0.562957106
46,826,0,cyclic,2dpos,5FTE,NN,24,5000,2,512,512,,0.001059265,200,0.406302948,0.000832077,0.614579957,0.010282462,0.629017592,0.000899333,0.593397905,0.006227311,3.86,9.2,0.629966397,0.62998009,0.55995256
47,827,0,cyclic,2dpos,5FTE,NN,24,10000,1,512,,,0.002122267,300,0.47098629,2.48E-05,0.616698952,0.010114458,0.628029255,0.000795596,0.595058312,0.00656274,3.26,7.4,0.628978059,0.634074976,0.561019964
48,828,0,cyclic,2dpos,WTE,NN,8,2500,3,128,256,512,0.001091964,400,0.491691526,2.74E-05,0.605850959,0.009534487,0.618897015,0.001100566,0.587230678,0.000690423,5.26,10.6,0.620280688,0.634756173,0.550583119
49,829,0,cyclic,2dpos,WTE,NN,8,5000,3,512,128,256,0.003412232,300,0.498144032,3.51E-05,0.606894643,0.008773414,0.618699348,0.001210461,0.589918956,0.00948042,4.62,9,0.619885353,0.63488138,0.551769124
50,830,0,cyclic,2dpos,WTE,NN,8,10000,2,512,128,,0.003317086,400,0.403604081,0.000247265,0.60606444,0.008909759,0.61771101,0.002020661,0.589681755,0.003672575,3.44,7.4,0.62087369,0.63939454,0.553192331
51,831,0,cyclic,2dpos,WTE,NN,16,2500,1,512,,,0.001014909,400,0.477342774,0.000423992,0.617102194,0.008549592,0.628582724,0.002359624,0.599051196,0.003255819,3.5,8.6,0.631745404,0.640863234,0.564498913
52,832,0,cyclic,2dpos,WTE,NN,16,5000,2,512,512,,0.001273154,400,0.458993148,2.70E-05,0.614975292,0.009409503,0.627871121,0.002683478,0.596125717,0.007930632,5.08,11.6,0.632338407,0.627873371,0.559240957
53,833,0,cyclic,2dpos,WTE,NN,16,10000,2,256,128,,0.001830198,300,0.427053897,0.000506994,0.613449298,0.015573379,0.626922317,0.000933443,0.578177505,0.026015254,2.76,7.6,0.627792054,0.643575994,0.565329116
54,834,0,cyclic,2dpos,WTE,NN,24,2500,1,512,,,0.001617852,200,0.327818433,0.000928679,0.614018581,0.013544837,0.628622257,0.002003183,0.582526191,0.011138876,2.72,7.8,0.631745404,0.637502853,0.562166436
55,835,0,cyclic,2dpos,WTE,NN,24,5000,3,512,128,256,0.00101788,200,0.492797792,9.18E-05,0.616857086,0.010621958,0.632970943,0.001662054,0.596204784,0.008676456,3.74,8,0.635698755,0.627112921,0.558054952
56,836,0,cyclic,2dpos,WTE,NN,24,10000,1,256,,,0.001500179,300,0.326057629,0.000635415,0.614338802,0.009806301,0.626289781,0.000515454,0.595255979,0.004403596,2.64,8,0.627001384,0.637047995,0.562522238
57,837,0,cyclic,2dpos,onehot,NN,8,2500,3,256,512,256,0.001883141,500,0.497410229,0.000325849,0.607357185,0.009645068,0.620162087,0.003930056,0.587823681,0.006731443,4.5,9.2,0.626408381,0.638809643,0.559082823
58,838,0,cyclic,2dpos,onehot,NN,8,5000,3,256,512,512,0.00243714,200,0.456309524,0.000626963,0.605095869,0.007659555,0.617118008,0.003087665,0.589444554,0.005606584,5.2,13,0.621664361,0.634384513,0.551848191
59,839,0,cyclic,2dpos,onehot,NN,8,10000,1,512,,,0.021709862,300,0.424452722,0.000330127,0.605712591,0.010133409,0.617394742,0.001449861,0.582209923,0.00844968,2.86,6.2,0.619885353,0.63555429,0.555643408
