Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
28,262,0,1dpos,elliptic,WTE,RF,,,700,25,3,1,log2,0.750054518,0.616734533,0.0196873,0.629096659,0.000409892,0.566791856,0.026945789,6.3,10.4,0.629571061,0.664070815,0.581695987
29,263,0,1dpos,elliptic,onehot,RF,,,250,25,4,2,sqrt,0.914940728,0.617857284,0.01913438,0.630638466,0.001496279,0.569677802,0.027806559,6.46,10.2,0.632931409,0.663803785,0.58161692
30,264,0,1dpos,polar,5FTE,RF,,,450,35,4,1,log2,0.98884901,0.614923898,0.019687091,0.629096659,0.001207229,0.565091915,0.026385986,5.92,10.4,0.630361732,0.663528259,0.581458786
31,265,0,1dpos,polar,WTE,RF,,,900,40,9,2,sqrt,0.974105481,0.617062661,0.022527233,0.630282665,0.000409892,0.55532714,0.020407485,7,12.4,0.630559399,0.660784976,0.583356395
32,266,0,1dpos,polar,onehot,RF,,,250,30,4,1,sqrt,0.775366003,0.61618897,0.020346699,0.62988733,0.000845592,0.564419846,0.026788362,5,10.2,0.631152402,0.660919713,0.581300652
33,267,0,1dpos,raw,5FTE,RF,,,1000,25,3,2,sqrt,0.947939341,0.601158332,0.015987012,0.611780984,0.000838632,0.562482704,0.026654203,8.2,13.6,0.61296699,0.66111564,0.566080253
34,268,0,1dpos,raw,WTE,RF,,,550,40,4,2,sqrt,0.952693819,0.605115636,0.019602573,0.61759241,0.000569475,0.555129472,0.027846086,7.04,11.4,0.618304013,0.660722863,0.572445147
35,269,0,1dpos,raw,onehot,RF,,,200,50,10,1,sqrt,0.92750775,0.601850168,0.018719811,0.614904131,0.000615632,0.55453647,0.023692331,6.88,12.8,0.615536667,0.66028691,0.571021941
36,270,0,1dpos,zone,5FTE,RF,,,500,50,3,1,log2,0.856106426,0.61224748,0.016465703,0.623206167,0.001189295,0.570508006,0.023016768,8.28,13.8,0.625222376,0.661208911,0.574184621
37,271,0,1dpos,zone,WTE,RF,,,550,40,5,2,log2,0.776739913,0.62007116,0.014734204,0.629412927,0.001614352,0.585016802,0.026750412,6.84,12.4,0.632140739,0.660517812,0.578058905
38,272,0,1dpos,zone,onehot,RF,,,450,25,2,1,sqrt,0.6387866,0.604222178,0.019139453,0.617355209,0.00091013,0.554338802,0.025056103,5.9,12.6,0.618699348,0.661738341,0.574935758
39,273,0,cyclic,2dpos,5FTE,RF,8,2500,750,25,3,1,sqrt,0.659288596,0.610120577,0.017263462,0.622138763,0.000330761,0.566791856,0.023735993,7.48,12.6,0.622652698,0.656864703,0.571338209
40,274,0,cyclic,2dpos,5FTE,RF,8,5000,450,30,3,1,sqrt,0.934144082,0.612196086,0.017795825,0.624906108,0.000359081,0.566356988,0.024017377,6.64,10.4,0.625222376,0.656395498,0.572326547
41,275,0,cyclic,2dpos,5FTE,RF,8,10000,200,25,9,1,log2,0.961292199,0.611579364,0.014699857,0.621585294,0.001023299,0.57620083,0.025324597,6.1,11.8,0.622850366,0.654966257,0.57011267
42,276,0,cyclic,2dpos,5FTE,RF,16,2500,750,50,2,1,sqrt,0.627669416,0.612729788,0.021005818,0.62470844,0.001123406,0.55544574,0.022330744,9.44,14.4,0.626606049,0.653264583,0.570942874
43,277,0,cyclic,2dpos,5FTE,RF,16,5000,200,50,6,1,sqrt,0.998047164,0.612903736,0.019938519,0.626250247,0.00119748,0.562443171,0.02741407,5.26,11.4,0.628385056,0.652581547,0.573077683
44,278,0,cyclic,2dpos,5FTE,RF,16,10000,700,25,10,1,log2,0.865363324,0.613342558,0.019902605,0.624906108,0.00131564,0.562482704,0.029691149,9.32,14.6,0.626408381,0.652576376,0.573354418
45,279,0,cyclic,2dpos,5FTE,RF,24,2500,450,30,6,3,log2,0.979260175,0.615018778,0.015942213,0.624866574,0.000866136,0.57620083,0.025979183,10.64,19.2,0.626013046,0.652503253,0.574066021
46,280,0,cyclic,2dpos,5FTE,RF,24,5000,500,35,6,1,log2,0.946067586,0.612789089,0.022313955,0.624866574,0.000566034,0.554141135,0.032040924,6.88,11.8,0.625617711,0.651839189,0.574303222
47,281,0,cyclic,2dpos,5FTE,RF,24,10000,350,30,3,1,log2,0.9926061,0.611741451,0.022323414,0.624747974,0.001190937,0.551966792,0.019831678,9.48,15.8,0.626803716,0.652531076,0.57382882
48,282,0,cyclic,2dpos,WTE,RF,8,2500,500,45,5,1,sqrt,0.833184395,0.613860447,0.017776187,0.625973513,0.000941777,0.568056928,0.02107983,6.42,10.4,0.627396719,0.655421144,0.573670686
49,283,0,cyclic,2dpos,WTE,RF,8,5000,300,30,6,1,sqrt,0.76225522,0.613378138,0.019737397,0.627080451,0.002052318,0.56086183,0.016218738,6.54,12.8,0.630559399,0.654486639,0.572998616
50,284,0,cyclic,2dpos,WTE,RF,8,10000,300,50,2,1,sqrt,0.919111899,0.616864993,0.014677683,0.628147855,0.001336268,0.581221585,0.023017278,6.56,11.2,0.630164064,0.656108335,0.574382289
51,285,0,cyclic,2dpos,WTE,RF,16,2500,250,40,4,3,log2,0.803486096,0.615694801,0.019586497,0.62605258,0.001112923,0.564657047,0.028102386,9.36,15.8,0.627989721,0.652294163,0.573077683
52,286,0,cyclic,2dpos,WTE,RF,16,5000,950,30,3,1,log2,0.864168779,0.612567701,0.022235314,0.625538644,0.001190937,0.551887725,0.020219658,9.86,16.2,0.627594386,0.651971268,0.572682348
53,287,0,cyclic,2dpos,WTE,RF,16,10000,600,50,8,2,sqrt,0.827781487,0.612769322,0.021773369,0.62617118,0.000676127,0.554180668,0.021351112,5.5,12,0.627199051,0.653254627,0.57394742
54,288,0,cyclic,2dpos,WTE,RF,24,2500,400,20,6,1,sqrt,0.935810979,0.611832378,0.027384573,0.627475786,0.001199111,0.534611583,0.007545878,6.22,10.8,0.629571061,0.653247396,0.575607828
55,289,0,cyclic,2dpos,WTE,RF,24,5000,700,30,5,1,sqrt,0.735623669,0.615781775,0.022078406,0.627792054,0.00034237,0.559873493,0.034835389,10.6,17,0.627989721,0.653695773,0.575924096
56,290,0,cyclic,2dpos,WTE,RF,24,10000,250,30,6,2,sqrt,0.848558189,0.616655466,0.018091272,0.627950188,0.000583035,0.572287013,0.030234538,7.12,14.8,0.628978059,0.654581361,0.575726428
57,291,0,cyclic,2dpos,onehot,RF,8,2500,950,35,2,2,sqrt,0.991885575,0.613053963,0.018892662,0.625854912,0.000661522,0.56548725,0.018029185,10.56,17.4,0.626606049,0.652731173,0.572682348
58,292,0,cyclic,2dpos,onehot,RF,8,5000,400,35,5,1,sqrt,0.863550004,0.614651117,0.018410679,0.627119984,0.001737901,0.566277921,0.022227447,9.1,15.2,0.629768729,0.655290733,0.573789286
59,293,0,cyclic,2dpos,onehot,RF,8,10000,550,25,6,1,log2,0.834899086,0.611488436,0.018642111,0.624036371,0.0008502,0.562759439,0.022245721,7.24,11.8,0.625024708,0.651954113,0.57078474
60,294,0,cyclic,2dpos,onehot,RF,16,2500,500,35,3,4,sqrt,0.997664792,0.616398498,0.016103746,0.625973513,0.001189295,0.575331093,0.023976753,7.8,13,0.627989721,0.649924491,0.571852145
61,295,0,cyclic,2dpos,onehot,RF,16,5000,300,45,7,1,log2,0.766297843,0.615584108,0.017656974,0.627673453,0.001489737,0.572405614,0.029843672,5.88,12.4,0.629966397,0.649973687,0.572880016
62,296,0,cyclic,2dpos,onehot,RF,16,10000,500,25,2,1,log2,0.721620915,0.615813402,0.016437699,0.625854912,0.000450751,0.573552085,0.021965389,8.38,13.2,0.626408381,0.649198734,0.572089346
63,297,0,cyclic,2dpos,onehot,RF,24,2500,350,35,9,1,sqrt,0.870315356,0.615619688,0.019467669,0.627357185,0.000566034,0.56774066,0.031341805,5.6,12.6,0.628187389,0.651432425,0.575252026
64,298,0,cyclic,2dpos,onehot,RF,24,5000,800,45,6,2,sqrt,0.927394527,0.615568294,0.019830925,0.626803716,0.000242092,0.566554655,0.030766491,6.12,12.6,0.627199051,0.652171786,0.57315675
65,299,0,cyclic,2dpos,onehot,RF,24,10000,500,45,4,1,log2,0.917099894,0.614983198,0.020635356,0.626131647,0.000634387,0.565329116,0.037553448,7.78,12.4,0.627001384,0.650050575,0.574184621
66,300,0,cyclic,elliptic,5FTE,RF,,,800,35,6,1,sqrt,0.846214037,0.609065033,0.014692169,0.620162087,0.000984376,0.572010279,0.020364744,7.24,12.2,0.621466693,0.65199806,0.566989524
67,301,0,cyclic,elliptic,WTE,RF,,,300,30,8,1,sqrt,0.970294803,0.61614153,0.01684037,0.62763392,0.000704429,0.573749753,0.018933103,7.12,11.8,0.628780391,0.653887877,0.573077683
68,302,0,cyclic,elliptic,onehot,RF,,,450,45,2,2,log2,0.938118783,0.614425776,0.018622238,0.627357185,0.000843278,0.564024511,0.014220801,6.86,11,0.628582724,0.653208601,0.570033603
69,303,0,cyclic,polar,5FTE,RF,,,650,40,9,1,sqrt,0.952596573,0.607116031,0.014817828,0.619490018,0.000419316,0.570982408,0.019042165,7.2,10.8,0.62008302,0.650937225,0.564854714
70,304,0,cyclic,polar,WTE,RF,,,800,25,10,1,sqrt,0.958327142,0.61615339,0.015016554,0.627357185,0.000843278,0.578730975,0.017707193,6.9,10.8,0.628187389,0.650774624,0.571970745
71,305,0,cyclic,polar,onehot,RF,,,200,45,3,2,log2,0.9199627,0.612741649,0.018766883,0.625182842,0.000615632,0.562403637,0.017998277,4.5,9,0.625815379,0.646957853,0.569440601
72,306,0,cyclic,raw,5FTE,RF,,,700,50,3,2,sqrt,0.994191169,0.598153785,0.011798197,0.606918363,0.000785713,0.568135995,0.014394757,6.66,11.4,0.607827634,0.652125136,0.553785333
73,307,0,cyclic,raw,WTE,RF,,,1000,40,4,1,log2,0.97629112,0.603676616,0.015012271,0.615694801,0.000676127,0.566989524,0.017005497,9.56,14.2,0.616722672,0.6514442,0.561138565
74,308,0,cyclic,raw,onehot,RF,,,650,30,6,1,sqrt,0.854087658,0.60219411,0.01546172,0.615655268,0.000984376,0.56469658,0.014042326,7.18,12,0.616722672,0.650355987,0.560545562
75,309,0,cyclic,zone,5FTE,RF,,,200,25,4,1,log2,0.909188517,0.609938723,0.009320617,0.617552876,0.001138949,0.588614351,0.015835254,7.08,12.6,0.619490018,0.651065583,0.559913026
76,310,0,cyclic,zone,WTE,RF,,,700,35,7,1,sqrt,0.961500865,0.619584898,0.01168982,0.627436252,0.000877341,0.591816565,0.019219546,6.28,10.4,0.628385056,0.653555268,0.57145681
77,311,0,cyclic,zone,onehot,RF,,,550,30,2,1,sqrt,0.912203983,0.604269619,0.023177918,0.623641036,0.001717548,0.545522831,0.019540312,8.04,12.8,0.626606049,0.652319016,0.569242933
78,312,0,raw,2dpos,5FTE,RF,8,2500,650,40,10,1,sqrt,0.736689683,0.619189563,0.022046444,0.633287211,0.002272747,0.561612967,0.031915624,8.12,12.8,0.636489425,0.660556299,0.5845424
79,313,0,raw,2dpos,5FTE,RF,8,5000,350,40,7,1,sqrt,0.964739587,0.617129868,0.025162974,0.632970943,0.001475241,0.549397114,0.023522684,5.66,10.8,0.635501087,0.659972649,0.583988931
80,314,0,raw,2dpos,5FTE,RF,8,10000,250,45,3,1,sqrt,0.758830857,0.617960071,0.021311037,0.632812809,0.002353821,0.563708243,0.02840483,5.08,10.2,0.63688476,0.660299857,0.584621467
81,315,0,raw,2dpos,5FTE,RF,16,2500,300,50,6,1,sqrt,0.611344107,0.618118205,0.022765518,0.630519866,0.000530398,0.558331686,0.032107315,6.08,12.6,0.631350069,0.657667506,0.583554062
82,316,0,raw,2dpos,5FTE,RF,16,5000,650,50,8,2,log2,0.983034758,0.618157739,0.024003508,0.631310536,0.000952093,0.55453647,0.031461008,7.94,13.4,0.632931409,0.657586966,0.583554062
83,317,0,raw,2dpos,5FTE,RF,16,10000,450,50,6,2,sqrt,0.603239558,0.618845622,0.023778719,0.631903538,0.000631299,0.555564341,0.032777245,6.98,11.4,0.632733742,0.657790537,0.584423799
84,318,0,raw,2dpos,5FTE,RF,24,2500,450,40,6,1,sqrt,0.991854031,0.617659617,0.02538733,0.632417474,0.000954143,0.551255189,0.035091247,7.16,14,0.633722079,0.657127063,0.583395928
85,319,0,raw,2dpos,5FTE,RF,24,5000,350,50,5,1,sqrt,0.768797821,0.617444764,0.023033517,0.631666337,0.000330761,0.557541016,0.026264726,8.102040816,13.4,0.631943072,0.658231178,0.584384266
86,320,0,raw,2dpos,5FTE,RF,24,10000,600,30,2,1,sqrt,0.642220401,0.619596758,0.019518766,0.632496541,0.001650257,0.570152204,0.030516947,8.2,13,0.635105752,0.658475902,0.583791263
87,321,0,raw,2dpos,WTE,RF,8,2500,350,40,3,1,sqrt,0.953243307,0.621391579,0.018679571,0.632615141,0.001088069,0.57450089,0.031316612,6.38,11,0.634117415,0.660408906,0.585056335
88,322,0,raw,2dpos,WTE,RF,8,5000,450,45,4,3,sqrt,0.820696915,0.619636292,0.021985109,0.63225934,0.001323044,0.562087369,0.029549014,7.08,12,0.633919747,0.660815337,0.58533307
89,323,0,raw,2dpos,WTE,RF,8,10000,200,35,2,3,log2,0.900355919,0.620553469,0.019153544,0.63237794,0.000676127,0.573749753,0.031578771,4.8,9.6,0.633524412,0.661607671,0.585728405
90,324,0,raw,2dpos,WTE,RF,16,2500,900,30,6,2,sqrt,0.979459161,0.617280095,0.024438336,0.631231469,0.000664469,0.555129472,0.033687557,9.82,14.6,0.631943072,0.655465296,0.581972722
91,325,0,raw,2dpos,WTE,RF,16,5000,250,25,2,1,sqrt,0.89612452,0.620090927,0.023853889,0.632654675,0.001857444,0.55758055,0.035535486,6.78,13.8,0.635896422,0.654613211,0.582723858
92,326,0,raw,2dpos,WTE,RF,16,10000,600,50,4,1,sqrt,0.922605529,0.621284839,0.020061732,0.63146867,0.000634387,0.57224748,0.038059597,7.54,12.2,0.632140739,0.6559196,0.583395928
